Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	ms	no units	no units	local_flux	local_flux	no units	local_flux	no units	deg/s	no units	deg/s	no units	deg/s	no units	
-10.066367603458483	1978.0	1.6965729874850304	1952.0	0.47543645841391086	2929.0	0.0	1068.17626953125	35002.0	685.0	0.41000000000000003	-0.7732793522267206	-792.0	-0.46963562753036436	39.0	-3.4867716776265487	-263.0	-3.288524913218808	211.0	2.851877678595294	89.0	
-9.768079347941855	1976.0	1.76349377724309	1946.0	0.503854142306407	2904.0	0.0	1087.70751953125	35642.0	685.0	0.41000000000000003	-0.7732793522267206	-792.0	-0.46963562753036436	39.0	-9.343936381709742	-280.0	-2.087885271499955	148.0	3.124740297200606	472.0	
-9.600594055826685	1975.0	1.8453563220934308	1939.0	0.5192144388956499	2890.0	0.0	1107.23876953125	36282.0	685.0	0.41000000000000003	-0.7651821862348178	-788.0	-0.48380566801619435	46.0	-7.141764795840343	-236.0	-1.1540855157047967	82.0	2.4589210138010618	328.0	
-9.42242300839882	1976.0	1.8053182077370544	1942.0	0.5081471943117167	2875.0	0.0	1126.77001953125	36922.0	685.0	0.41000000000000003	-0.7651821862348178	-788.0	-0.48380566801619435	46.0	1.3763572411683744	-194.0	-1.1499566514698434	60.0	1.8144939888021654	-229.0	
-9.732128433248194	1976.0	1.787156675180599	1944.0	0.5046869094120938	2901.0	0.0	1146.30126953125	37562.0	685.0	0.41000000000000003	-0.7651821862348178	-788.0	-0.48380566801619435	46.0	5.872457562318398	-171.0	-1.6338680196333986	80.0	1.456731750983657	-523.0	
-9.875691900358502	1973.0	1.71652424986413	1950.0	0.5379832045479144	2913.0	0.0	1165.83251953125	38202.0	689.0	0.42	-0.7672064777327935	-789.0	-0.47975708502024295	44.0	2.8138859152775657	-191.0	-1.4069410009917456	73.0	1.7658906943325716	-323.0	
-9.815930223969609	1978.0	1.7403109363724047	1948.0	0.47881559118654715	2908.0	0.0	1185.36376953125	38842.0	689.0	0.42	-0.7672064777327935	-789.0	-0.47975708502024295	44.0	-1.6210429729316411	-181.0	-0.751225253243944	42.0	1.6190030152288006	-33.0	
