Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	no units	no units	ms	no units	local_flux	no units	local_flux	no units	local_flux	deg/s	no units	deg/s	no units	deg/s	no units	
-2.981324574268844	1919.0	1272.0	9.743569370178264	1.7784658214530695	2315.0	0.0	9380.0	286.2548828125	1034.0	0.2891304347826087	401.0	2.3393939393939394	197.0	-1.9121756487025952	-0.3336235684715382	70.0	2.3328907643231838	-123.0	-0.39210102667269914	-21.0	
-2.9445088357966167	1919.0	1270.0	9.76721120779604	1.7790703972139694	2312.0	0.0	10020.0	305.7861328125	1035.0	0.29130434782608694	399.0	2.3353535353535353	198.0	-1.914171656686627	-0.6424566537735812	71.0	2.16009136335358	-110.0	-0.40422182129496387	-1.0	
-2.9210977526223654	1916.0	1275.0	9.705052234388239	1.8148274966248872	2310.0	0.0	10660.0	325.3173828125	1032.0	0.2847826086956522	397.0	2.3313131313131312	212.0	-1.942115768463074	-0.04410853466652992	47.0	1.7740104913486852	-88.0	-0.04518629107919022	-40.0	
-2.969742942222687	1916.0	1274.0	9.718227354145434	1.814472795926456	2314.0	0.0	11300.0	344.8486328125	1028.0	0.27608695652173915	402.0	2.3414141414141416	224.0	-1.9660678642714573	0.3528162867466265	37.0	1.4104657911294447	-66.0	0.10293571545952995	-66.0	
-2.9823028979192436	1913.0	1274.0	9.717758267501567	1.8504870838163048	2315.0	0.0	11940.0	364.3798828125	1035.0	0.29130434782608694	396.0	2.3292929292929294	205.0	-1.9281437125748506	0.2776383054104661	1.0	1.0189844442428824	-41.0	0.6512160123831577	-61.0	
-3.031678592088028	1910.0	1276.0	9.693647343239926	1.8858967959452535	2319.0	0.0	12580.0	383.9111328125	1034.0	0.2891304347826087	391.0	2.319191919191919	212.0	-1.942115768463074	-0.18438743314473868	9.0	0.9810458370577863	-36.0	0.5341632659664285	-31.0	
-3.055934374863698	1913.0	1278.0	9.670474592266014	1.8492779322945045	2321.0	0.0	13220.0	403.4423828125	1031.0	0.2826086956521739	399.0	2.3353535353535353	201.0	-1.9201596806387229	-1.2888628547193908	-7.0	0.7933109223770587	-19.0	0.7885540277867377	41.0	
-3.0075348455657553	1911.0	1279.0	9.656822602510085	1.8737217932320933	2317.0	0.0	13860.0	422.9736328125	1031.0	0.2826086956521739	397.0	2.3313131313131312	206.0	-1.9301397205588824	-1.1627684058951582	-19.0	0.9421519097401405	-30.0	0.9698025890019174	33.0	
-3.007661993276061	1908.0	1277.0	9.68048779019247	1.9101017519450672	2317.0	0.0	14500.0	442.5048828125	1032.0	0.2847826086956522	398.0	2.3333333333333335	220.0	-1.9580838323353296	-1.3111309832065252	-41.0	1.1190039596802719	-42.0	1.3058869752313051	43.0	
-3.0808064671748743	1910.0	1279.0	9.658061477636142	1.8850496585383472	2323.0	0.0	15140.0	462.0361328125	1033.0	0.28695652173913044	393.0	2.323232323232323	218.0	-1.9540918163672658	-0.5639630407776504	-41.0	0.6322184621915701	-13.0	1.298415295807016	-6.0	
-3.080802149615758	1912.0	1281.0	9.634157854954388	1.860714279944952	2323.0	0.0	15780.0	481.5673828125	1032.0	0.2847826086956522	402.0	2.3414141414141416	198.0	-1.914171656686627	-0.3228960623379528	-36.0	0.25866193563220174	11.0	1.2199589986461932	-22.0	
-3.1176157293084272	1913.0	1284.0	9.598564205995734	1.8479420148873544	2326.0	0.0	16420.0	501.0986328125	1032.0	0.2847826086956522	398.0	2.3333333333333335	201.0	-1.9201596806387229	-0.6716724399699401	-54.0	0.40691873490631614	2.0	1.4972110209776464	1.0	
-3.068979174826338	1909.0	1281.0	9.633196331602047	1.8969674727725758	2322.0	0.0	17060.0	520.6298828125	1029.0	0.2782608695652174	402.0	2.3414141414141416	204.0	-1.9261477045908186	-1.6223207562690483	-68.0	0.2846567024770632	14.0	1.7196452607946298	63.0	
-3.0450767710473285	1910.0	1286.0	9.571991098191717	1.8845462517051783	2320.0	0.0	17700.0	540.1611328125	1029.0	0.2782608695652174	400.0	2.3373737373737375	217.0	-1.9520958083832338	-1.4081160614895234	-46.0	0.5529971536049261	-4.0	1.3829024533905607	49.0	
-3.131882354444287	1902.0	1290.0	9.523046161315461	1.9795742886711207	2327.0	0.0	18340.0	559.6923828125	1032.0	0.2847826086956522	396.0	2.3292929292929294	212.0	-1.942115768463074	-0.5303007817174616	-43.0	0.898523906389225	-31.0	1.3284969241669846	-8.0	
-3.252939354595401	1908.0	1289.0	9.539129201194287	1.906235392441892	2337.0	0.0	18980.0	579.2236328125	1031.0	0.2826086956521739	399.0	2.3353535353535353	215.0	-1.9481037924151698	-0.5387037725076537	30.0	1.168406957157944	-46.0	0.21831479437906895	-8.0	
-3.2653700038020936	1909.0	1292.0	9.50304311552716	1.8937020323220695	2338.0	0.0	19620.0	598.7548828125	1032.0	0.2847826086956522	405.0	2.3474747474747475	198.0	-1.914171656686627	-1.996002451583066	72.0	1.8800939221969832	-85.0	-0.40589548879215415	87.0	
-3.338760138003286	1909.0	1294.0	9.480139932972095	1.8927390991545068	2344.0	0.0	20260.0	618.2861328125	1033.0	0.28695652173913044	395.0	2.327272727272727	203.0	-1.9241516966067866	-2.325046589195905	67.0	2.6645712602342027	-136.0	-0.3265594200395999	109.0	
-3.3253576414848687	1911.0	1286.0	9.577892555338547	1.8697542648011867	2343.0	0.0	20900.0	637.8173828125	1033.0	0.28695652173913044	397.0	2.3313131313131312	220.0	-1.9580838323353296	-2.7023537475278854	99.0	3.789759788927541	-208.0	-0.8094783636654056	134.0	
-3.4610454396662957	1905.0	1293.0	9.493838622857243	1.9398460041210654	2354.0	0.0	21540.0	657.3486328125	1032.0	0.2847826086956522	406.0	2.3494949494949493	198.0	-1.914171656686627	-2.48900470122516	70.0	4.731780853381727	-273.0	-0.3705472153451629	121.0	
-3.632691324041181	1905.0	1301.0	9.399763709094612	1.9371887961396905	2368.0	0.0	22180.0	676.8798828125	1035.0	0.29130434782608694	404.0	2.3454545454545452	197.0	-1.9121756487025952	-1.8646257319391752	99.0	6.220209541231473	-374.0	-0.8178556438212927	81.0	
-3.7903378313781677	1904.0	1293.0	9.500248083422289	1.9486653675806815	2381.0	0.0	22820.0	696.4111328125	1031.0	0.2826086956521739	401.0	2.3393939393939394	217.0	-1.9520958083832338	-0.10249872289629967	119.0	7.7739007178242945	-485.0	-1.139659423417425	-33.0	
-3.913463515083479	1902.0	1301.0	9.404711426243972	1.9705751297140142	2391.0	0.0	23460.0	715.9423828125	1032.0	0.2847826086956522	397.0	2.3313131313131312	233.0	-1.9840319361277448	0.8923256581278058	138.0	9.32041777731571	-592.0	-1.4385810512580843	-97.0	
-3.964539402352891	1894.0	1312.0	9.26969610992329	2.0650997598467877	2395.0	0.0	24100.0	735.4736328125	1031.0	0.2826086956521739	398.0	2.3333333333333335	203.0	-1.9241516966067866	2.0801911081699376	121.0	11.206410631422207	-724.0	-1.1919045726786575	-173.0	
-4.098895497887258	1890.0	1310.0	9.29583126450292	2.112210321521578	2406.0	0.0	24740.0	755.0048828125	1030.0	0.28043478260869564	391.0	2.319191919191919	217.0	-1.9520958083832338	3.8405273433880587	119.0	13.781325174075672	-904.0	-1.1790896840802685	-286.0	
-4.305544891380343	1891.0	1306.0	9.349016396885304	2.098627486139386	2423.0	0.0	25380.0	774.5361328125	1029.0	0.2782608695652174	399.0	2.3353535353535353	216.0	-1.9500998003992018	5.951575688583721	132.0	16.355948132907997	-1085.0	-1.3979187987109323	-422.0	
-4.428914076608476	1888.0	1315.0	9.241051058367374	2.1324587192151787	2433.0	0.0	26020.0	794.0673828125	1029.0	0.2782608695652174	391.0	2.319191919191919	215.0	-1.9481037924151698	5.828959074181485	143.0	19.609555074074716	-1301.0	-1.5639930127950468	-412.0	
-4.760617736973415	1888.0	1336.0	8.991703780786652	2.1266482098357224	2460.0	0.0	26660.0	813.5986328125	1032.0	0.2847826086956522	388.0	2.313131313131313	210.0	-1.9381237524950103	6.304846089829752	208.0	23.67894557976347	-1572.0	-2.5573450388450656	-441.0	
-5.322974436966057	1897.0	1358.0	8.73699032059051	2.010043773294075	2506.0	0.0	27300.0	833.1298828125	1030.0	0.28043478260869564	393.0	2.323232323232323	219.0	-1.9560878243512976	5.213220324492027	351.0	28.72947515263866	-1898.0	-4.721333724157469	-368.0	
-5.499879548911995	1922.0	1334.0	9.039210383054135	1.7100921035221437	2521.0	0.0	27940.0	852.6611328125	1030.0	0.28043478260869564	395.0	2.327272727272727	205.0	-1.9281437125748506	-1.5857597143507587	520.0	34.37296411842161	-2236.0	-7.223686129092235	77.0	
-5.0689353383842874	1931.0	1308.0	9.349685060496489	1.6090725574620854	2486.0	0.0	28580.0	872.1923828125	1036.0	0.29347826086956524	381.0	2.298989898989899	228.0	-1.974051896207585	-18.353617137059235	707.0	42.53533047398706	-2695.0	-9.900114018743476	1173.0	
-4.250919882403785	1922.0	1289.0	9.562657196232912	1.7278161683190136	2419.0	0.0	29220.0	891.7236328125	1025.0	0.26956521739130435	389.0	2.315151515151515	232.0	-1.9820359281437128	-33.275306876456554	650.0	48.96648963058705	-3057.0	-8.883976969258248	2150.0	
-3.4722628988180007	1909.0	1289.0	9.54379956656993	1.892040667882338	2355.0	0.0	29860.0	911.2548828125	1031.0	0.2826086956521739	397.0	2.3313131313131312	219.0	-1.9560878243512976	-38.555651445246085	497.0	52.704190130483155	-3288.0	-6.504177325851723	2498.0	
-3.2494269321407456	1914.0	1266.0	9.820935477016118	1.8367994227981508	2337.0	0.0	30500.0	930.7861328125	1026.0	0.2717391304347826	394.0	2.3252525252525253	220.0	-1.9580838323353296	-28.874858256035367	337.0	52.98254378384107	-3358.0	-4.167525181698201	1869.0	
-3.4274331978882717	1932.0	1244.0	10.09710600180368	1.620913595509033	2352.0	0.0	31140.0	950.3173828125	1028.0	0.27608695652173915	394.0	2.3252525252525253	231.0	-1.980039920159681	-13.080489251209642	167.0	52.094676226583914	-3379.0	-1.73991754094798	841.0	
-4.024459457018477	1929.0	1238.0	10.181596874204681	1.651932819954994	2401.0	0.0	31780.0	969.8486328125	1028.0	0.27608695652173915	385.0	2.3070707070707073	221.0	-1.9600798403193616	8.061162149567838	-358.0	54.111921606132796	-3633.0	6.03345681956896	-530.0	
