Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	ms	no units	local_flux	no units	local_flux	no units	local_flux	no units	deg/s	no units	deg/s	no units	deg/s	no units	
-3.44801458807957	2025.0	-9.087173093671298	2826.0	-0.24031999329639034	2364.0	0.0	271.91162109375	8910.0	-0.675	251.0	-0.7004048582995952	-756.0	-0.4352226720647773	22.0	2.5692001835142992	-90.0	-1.7969373634795078	100.0	0.2121978812370785	-307.0	
-3.5312068671176093	2027.0	-9.073067664141899	2825.0	-0.2649661930383514	2371.0	0.0	291.44287109375	9550.0	-0.675	251.0	-0.7004048582995952	-756.0	-0.4352226720647773	22.0	1.7739715552836828	-20.0	-1.9389598641569714	112.0	-0.8633361998384396	-255.0	
-3.5309618581079207	2028.0	-9.048566763173037	2823.0	-0.2765219176999616	2371.0	0.0	310.97412109375	10190.0	-0.6775	250.0	-0.6902834008097166	-751.0	-0.4251012145748988	17.0	-0.12234286588163329	36.0	-1.9314263742347357	117.0	-1.7225519497942117	-131.0	
-3.5304766574338964	2026.0	-9.000046695770608	2819.0	-0.2514502788030042	2371.0	0.0	330.50537109375	10830.0	-0.6775	250.0	-0.6902834008097166	-751.0	-0.4251012145748988	17.0	-0.565835754702554	77.0	-1.7689714259138174	108.0	-2.3500512302941243	-102.0	
-3.5416476134206154	2026.0	-8.926666103966319	2813.0	-0.25009437652678557	2372.0	0.0	350.03662109375	11470.0	-0.6775	250.0	-0.6902834008097166	-751.0	-0.4251012145748988	17.0	-0.6728857623489831	64.0	-1.5821159074179225	96.0	-2.148704387553541	-95.0	
-3.5534280810907104	2026.0	-8.914236680499625	2812.0	-0.2499635927341526	2373.0	0.0	369.56787109375	12110.0	-0.68	249.0	-0.6902834008097166	-751.0	-0.39878542510121456	4.0	0.5964214711729623	26.0	-1.3157185137077327	75.0	-1.5629500346076928	-178.0	
-3.5297476520865216	2024.0	-8.927146161033143	2813.0	-0.22588859251261242	2371.0	0.0	389.09912109375	12750.0	-0.68	249.0	-0.6902834008097166	-751.0	-0.39878542510121456	4.0	0.04587857470561248	-38.0	-0.7651936089131748	40.0	-0.5753978314397533	-142.0	
-3.505455302726281	2024.0	-8.87886360596142	2809.0	-0.22468001791757558	2369.0	0.0	408.63037109375	13390.0	-0.68	249.0	-0.6902834008097166	-751.0	-0.39878542510121456	4.0	0.33644288117449156	-27.0	-0.39060952425832773	15.0	-0.7404413108325788	-161.0	
