Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	no units	no units	ms	local_flux	no units	no units	local_flux	local_flux	no units	deg/s	no units	no units	deg/s	deg/s	no units	
1486.0	2.229193484362725	6.766282330477427	1499.0	7.017665601521894	1881.0	0.0	11480.0	350.341796875	0.29130434782608694	1035.0	430.0	2.397979797979798	-1.5089820359281438	-5.0	-3.3032690797222797	-360.0	-152.0	2.712763742426983	6.177519382812433	177.0	
1485.0	2.1677513138817006	6.7307042482285135	1502.0	7.028743591765679	1886.0	0.0	12120.0	369.873046875	0.29782608695652174	1038.0	419.0	2.375757575757576	-1.506986027944112	-6.0	-2.9874265655171692	-307.0	-162.0	2.872949486927171	5.368277307480268	156.0	
1486.0	2.1924984172621294	6.754830739199895	1500.0	7.0171841349381125	1884.0	0.0	12760.0	389.404296875	0.2826086956521739	1031.0	419.0	2.375757575757576	-1.534930139720559	8.0	-3.7477196358455895	-316.0	-197.0	3.445128230635334	5.512762367461118	206.0	
1483.0	2.2402924309223575	6.692179329083619	1505.0	7.053180139286804	1880.0	0.0	13400.0	408.935546875	0.29130434782608694	1035.0	429.0	2.395959595959596	-1.4950099800399204	-12.0	-4.040115146812611	-340.0	-167.0	3.001103085298587	5.880705333977633	225.0	
1484.0	2.3247901468014143	6.593172264881368	1513.0	7.040986853032488	1873.0	0.0	14040.0	428.466796875	0.2956521739130435	1037.0	428.0	2.393939393939394	-1.4970059880239523	-11.0	-3.6477923092067357	-301.0	-162.0	2.922561132802033	5.283626212065452	199.0	
1484.0	2.410492417617226	6.628019475422439	1510.0	7.042192347846057	1866.0	0.0	14680.0	447.998046875	0.29347826086956524	1036.0	423.0	2.3838383838383836	-1.4970059880239523	-11.0	-3.0804892929864724	-305.0	-157.0	2.8056808640564275	5.33878968380439	162.0	
1479.0	2.397445458875028	6.602693026099349	1512.0	7.102049577620826	1867.0	0.0	15320.0	467.529296875	0.2826086956521739	1031.0	437.0	2.412121212121212	-1.5149700598802398	-2.0	-1.7775906038764635	-304.0	-153.0	2.6556374653208787	5.310551571438004	77.0	
1483.0	2.3608796982642963	6.5556244357985545	1516.0	7.053020463027373	1870.0	0.0	15960.0	487.060546875	0.2891304347826087	1034.0	433.0	2.404040404040404	-1.4870259481037926	-16.0	-1.2316219101113748	-209.0	-102.0	1.9108150298864892	3.8602249643482622	40.0	
1485.0	2.3730754810664005	6.531474594762564	1518.0	7.028804536902865	1869.0	0.0	16600.0	506.591796875	0.29347826086956524	1036.0	427.0	2.391919191919192	-1.5169660678642716	-1.0	-1.5566438442868862	-196.0	-95.0	1.8363977755153718	3.6657565525113105	61.0	
1479.0	2.421707717989373	6.590010343050629	1513.0	7.1021653733814825	1865.0	0.0	17240.0	526.123046875	0.27608695652173915	1028.0	418.0	2.3737373737373737	-1.5309381237524953	6.0	-2.5807909636723996	-238.0	-77.0	1.6122620167598576	4.314781293667142	128.0	
1476.0	2.3965942829349345	6.553216735740268	1516.0	7.137690881271087	1867.0	0.0	17880.0	545.654296875	0.2956521739130435	1037.0	435.0	2.408080808080808	-1.506986027944112	-6.0	-2.139428804954457	-167.0	-21.0	0.7851569169678461	3.230519763334716	98.0	
1476.0	2.470467102622652	6.62488090365631	1510.0	7.139146251147125	1861.0	0.0	18520.0	565.185546875	0.2847826086956522	1032.0	426.0	2.38989898989899	-1.50499001996008	-7.0	-2.677429587353073	-169.0	-11.0	0.6714600039035077	3.2663180221092727	133.0	
1469.0	2.4696072915643255	6.623211858660735	1510.0	7.223458311984176	1861.0	0.0	19160.0	584.716796875	0.27608695652173915	1028.0	435.0	2.408080808080808	-1.5109780439121758	-4.0	-2.095278145753734	-183.0	7.0	0.35256008583576703	3.4734242643472717	95.0	
1473.0	2.3726875615968086	6.638325591832351	1509.0	7.17444748093188	1869.0	0.0	19800.0	604.248046875	0.28043478260869564	1030.0	437.0	2.412121212121212	-1.4830339321357286	-18.0	-1.1083573099011308	-131.0	23.0	0.07562531667900406	2.6726805312739166	30.0	
1474.0	2.2878321491619737	6.676858294332114	1506.0	7.161936061061445	1876.0	0.0	20440.0	623.779296875	0.2847826086956522	1032.0	429.0	2.395959595959596	-1.4930139720558884	-13.0	-1.0070855166634805	-179.0	8.0	0.26426283517900506	3.4017058361552284	24.0	
1472.0	2.348785157817799	6.699530825242681	1504.0	7.186868701999277	1871.0	0.0	21080.0	643.310546875	0.2826086956521739	1031.0	423.0	2.3838383838383836	-1.5169660678642716	-1.0	-1.7988407309764933	-198.0	-12.0	0.6076601376964927	3.6985967723287767	76.0	
1472.0	2.2632035583736188	6.676873861041853	1506.0	7.185786316362827	1878.0	0.0	21720.0	662.841796875	0.27608695652173915	1028.0	435.0	2.408080808080808	-1.4990019960079843	-10.0	-1.705822122736964	-173.0	-43.0	1.081162784230211	3.3174384493642517	70.0	
1474.0	2.3361153246474022	6.627112435554187	1510.0	7.16192143422852	1872.0	0.0	22360.0	682.373046875	0.28695652173913044	1033.0	431.0	2.4	-1.475049900199601	-22.0	-2.1833346530107485	-165.0	-37.0	1.0293095540006019	3.200540570864708	101.0	
1475.0	2.360017728426412	6.5659072021438565	1515.0	7.149500213161122	1870.0	0.0	23000.0	701.904296875	0.28043478260869564	1030.0	427.0	2.391919191919192	-1.502994011976048	-8.0	-1.7796372564174303	-167.0	-68.0	1.464763101351588	3.226921847849346	75.0	
1476.0	2.3964736115633034	6.541026489400023	1517.0	7.137567772093969	1867.0	0.0	23640.0	721.435546875	0.2847826086956522	1032.0	437.0	2.412121212121212	-1.4910179640718564	-14.0	-1.6034675218421508	-174.0	-111.0	2.092920793861484	3.331624028830589	64.0	
1474.0	2.395745265774399	6.491788634040309	1521.0	7.161164495624652	1867.0	0.0	24280.0	740.966796875	0.2847826086956522	1032.0	434.0	2.4060606060606062	-1.4910179640718564	-14.0	-1.3584507923689038	-155.0	-127.0	2.3273066248213774	3.0402004775054383	48.0	
1476.0	2.3956289119618845	6.455694765018312	1524.0	7.136706007854137	1867.0	0.0	24920.0	760.498046875	0.2826086956521739	1031.0	431.0	2.4	-1.5149700598802398	-2.0	-1.147592711137523	-146.0	-110.0	2.063233623820635	2.9012097674155575	34.0	
1481.0	2.4562350179597234	6.358133877522007	1532.0	7.07609549618373	1862.0	0.0	25560.0	780.029296875	0.28043478260869564	1030.0	426.0	2.38989898989899	-1.5129740518962078	-3.0	-1.4439870684264204	-120.0	-102.0	1.9797401315972316	2.508736448631032	53.0	
