Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no units	m/(s^2)	no units	no units	m/(s^2)	no units	no units	ms	local_flux	no units	local_flux	no units	local_flux	no units	deg/s	no units	deg/s	no units	deg/s	no units	
-7.13899156798327	2022.0	7.304080930442799	1481.0	2655.0	0.47153041169688426	0.0	11812.0	360.4736328125	0.18695652173913044	987.0	1.7898989898989899	129.0	-2.1516966067864276	317.0	-2.9086536739679807	-502.0	-12.168705514417184	833.0	8.333269046245384	143.0	
-7.151792866423088	2019.0	7.279231351118444	1483.0	2656.0	0.5072984812324954	0.0	12452.0	380.0048828125	0.1782608695652174	983.0	1.7858585858585858	127.0	-2.131736526946108	307.0	-3.891925432112607	-502.0	-10.735951958970857	742.0	8.343101763826832	208.0	
-7.128146916844249	2013.0	7.277308304413762	1483.0	2654.0	0.5798048668877431	0.0	13092.0	399.5361328125	0.19782608695652174	992.0	1.7838383838383838	126.0	-2.135728542914172	309.0	-5.230054166818882	-404.0	-9.533723164803366	672.0	6.8659887545959455	295.0	
-7.067433092152128	2012.0	7.263648531302962	1484.0	2649.0	0.5923236001746407	0.0	13732.0	419.0673828125	0.19130434782608696	989.0	1.802020202020202	135.0	-2.13373253493014	308.0	-5.512820240133743	-317.0	-8.861414739521623	632.0	5.545622498979285	313.0	
-6.9818558102670645	2010.0	7.310209118185543	1480.0	2642.0	0.6177413644044858	0.0	14372.0	438.5986328125	0.20652173913043478	996.0	1.8080808080808082	138.0	-2.101796407185629	292.0	-4.682058853534321	-236.0	-7.430677805668929	536.0	4.305375721615191	259.0	
-7.043179468156016	2008.0	7.29877309361775	1481.0	2647.0	0.641110153122087	0.0	15012.0	458.1298828125	0.20652173913043478	996.0	1.804040404040404	136.0	-2.105788423153693	294.0	-4.385854506950147	-234.0	-6.940331770716883	502.0	4.271995427198779	240.0	
-7.078413526119688	2014.0	7.361893590377891	1476.0	2650.0	0.5690998608835457	0.0	15652.0	477.6611328125	0.1956521739130435	991.0	1.8242424242424242	146.0	-2.1137724550898205	298.0	-4.3594789930031475	-184.0	-6.611899180574504	482.0	3.5112753982950506	238.0	
