Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	no units	ms	no units	local_flux	no units	local_flux	no units	local_flux	no units	no units	deg/s	no units	deg/s	deg/s	no units	
-1.8727553208409011	2538.0	1404.0	8.260873339410223	-5.683106771621533	2229.0	0.0	601.62353515625	19714.0	-0.3456521739130435	742.0	2.2565656565656567	360.0	-2.6866267465069864	585.0	61.0	-0.5617093157910577	-25.0	0.874024879849178	-0.2529380399219373	-7.0	
-1.8233817854516754	2540.0	1401.0	8.296936075012741	-5.706348794453785	2225.0	0.0	621.15478515625	20354.0	-0.34347826086956523	743.0	2.2343434343434345	349.0	-2.7085828343313376	596.0	51.0	0.21244132117462505	-64.0	1.3987679915031639	-0.10858829153874246	-57.0	
-1.8484995380652303	2535.0	1402.0	8.284046090384134	-5.646487907970785	2227.0	0.0	640.68603515625	20994.0	-0.341304347826087	744.0	2.2484848484848485	356.0	-2.7125748502994016	598.0	40.0	0.9173003931373999	-49.0	1.1181302286635402	0.05166349796976669	-103.0	
-1.8247307583352013	2530.0	1402.0	8.282361478678819	-5.586026102435116	2225.0	0.0	660.21728515625	21634.0	-0.34782608695652173	741.0	2.2585858585858585	361.0	-2.6806387225548907	582.0	48.0	0.6086445138472822	-44.0	1.0695170792735942	-0.06692294703961352	-83.0	
-1.836917906019073	2532.0	1404.0	8.258704074351304	-5.610480933497399	2226.0	0.0	679.74853515625	22274.0	-0.3347826086956522	747.0	2.2444444444444445	354.0	-2.6806387225548907	582.0	67.0	0.3425971166074061	-27.0	0.8447203497645652	-0.353235857097633	-66.0	
-1.8244850980328222	2532.0	1402.0	8.282838348677554	-5.610115262674274	2225.0	0.0	699.27978515625	22914.0	-0.341304347826087	744.0	2.2383838383838386	351.0	-2.6846307385229546	584.0	82.0	-0.07354006974048866	-28.0	0.8978014769676758	-0.5772113673634317	-39.0	
-1.8481353651707784	2536.0	1400.0	8.308665018063989	-5.658286269736126	2227.0	0.0	718.81103515625	23554.0	-0.34782608695652173	741.0	2.2565656565656567	360.0	-2.7085828343313376	596.0	84.0	-0.44641368868871834	2.0	0.4751950984407173	-0.6039008821245198	-15.0	
-1.8118044709646344	2535.0	1401.0	8.295497681661665	-5.646006441387004	2224.0	0.0	738.34228515625	24194.0	-0.341304347826087	744.0	2.2606060606060607	362.0	-2.6806387225548907	582.0	60.0	-0.44216326432959624	-3.0	0.5352610271896783	-0.23892437496126678	-15.0	
-1.8481396827298948	2534.0	1398.0	8.332568640745741	-5.633950891142731	2227.0	0.0	757.87353515625	24834.0	-0.3391304347826087	745.0	2.2383838383838386	351.0	-2.702594810379242	593.0	76.0	-0.24481709930002019	-5.0	0.5612445819040541	-0.4842438442161253	-28.0	
-1.8728846273307653	2534.0	1401.0	8.296490338433484	-5.6345591236118615	2229.0	0.0	777.40478515625	25474.0	-0.35	740.0	2.2262626262626264	345.0	-2.724550898203593	604.0	69.0	0.14022801235562155	-9.0	0.5901569019922454	-0.38163041700568556	-53.0	
-1.8850760925737535	2534.0	1401.0	8.296736556787723	-5.634678576080749	2230.0	0.0	796.93603515625	26114.0	-0.34347826086956523	743.0	2.2525252525252526	358.0	-2.694610778443114	589.0	45.0	0.11185698956480625	-1.0	0.4575907347372049	-0.016327695370933235	-51.0	
-1.895922902492332	2542.0	1398.0	8.335460994157634	-5.7307853419749115	2231.0	0.0	816.46728515625	26754.0	-0.34347826086956523	743.0	2.242424242424242	353.0	-2.706586826347306	595.0	52.0	-0.24521065449509197	21.0	0.15686611543808307	-0.11922089725733045	-28.0	
-1.8842162815154273	2541.0	1401.0	8.298405601783298	-5.718990636917801	2230.0	0.0	835.99853515625	27394.0	-0.34782608695652173	741.0	2.2585858585858585	361.0	-2.7045908183632736	594.0	25.0	-0.08954958911916895	32.0	-0.03531129145477444	0.28986887992161	-38.0	
-1.8966512482812359	2540.0	1402.0	8.286223138797922	-5.7071886184442295	2231.0	0.0	855.52978515625	28034.0	-0.3456521739130435	742.0	2.2505050505050503	357.0	-2.734530938123753	609.0	18.0	0.4814868289514974	15.0	0.17555858243256822	0.3906223940678995	-75.0	
-1.921523340592412	2537.0	1403.0	8.27381002416805	-5.671416892200386	2233.0	0.0	875.06103515625	28674.0	-0.33260869565217394	748.0	2.2444444444444445	354.0	-2.6826347305389224	583.0	-17.0	0.9502979473796612	-9.0	0.4814566428795912	0.9182536745185989	-105.0	
-1.8977524020828247	2533.0	1404.0	8.260173601121858	-5.6231227759614155	2231.0	0.0	894.59228515625	29314.0	-0.3456521739130435	742.0	2.2505050505050503	357.0	-2.706586826347306	595.0	-9.0	1.0268643857571107	-16.0	0.5859420651574936	0.795815006332543	-110.0	
-1.8372756025748505	2534.0	1409.0	8.198229712648816	-5.63518563962215	2226.0	0.0	914.12353515625	29954.0	-0.34347826086956523	743.0	2.2606060606060607	362.0	-2.698602794411178	591.0	-10.0	0.35023542116875583	-3.0	0.43752452734819447	0.8177904214537117	-66.0	
-1.8258168006798827	2530.0	1411.0	8.172649261616618	-5.587134085029184	2225.0	0.0	933.65478515625	30594.0	-0.3391304347826087	745.0	2.2484848484848485	356.0	-2.6866267465069864	585.0	-8.0	0.11404642343046767	36.0	-0.1295276345481093	0.7897340604805243	-51.0	
-1.8981100986386021	2535.0	1409.0	8.19969923941937	-5.647827482086167	2231.0	0.0	953.18603515625	31234.0	-0.35434782608695653	738.0	2.2363636363636363	350.0	-2.7125748502994016	598.0	25.0	0.4594359826016586	53.0	-0.38836326595718873	0.2843790242044017	-74.0	
-1.9221310150096849	2535.0	1406.0	8.23676241514858	-5.647697059492586	2233.0	0.0	972.71728515625	31874.0	-0.341304347826087	744.0	2.2383838383838386	351.0	-2.696606786427146	590.0	41.0	0.7011452416979823	62.0	-0.5303849238192437	0.038615924008875695	-90.0	
