Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	no units	ms	no units	local_flux	no units	no units	local_flux	no units	local_flux	deg/s	no units	no units	deg/s	deg/s	no units	
-6.612062928241615	1483.0	1828.0	3.07942146155271	6.50149189633418	2640.0	0.0	1625.518798828125	53265.0	0.765	827.0	-648.0	-0.4817813765182186	-361.0	0.340080971659919	2.0492430035173577	33.0	120.0	-2.064883544457778	-1.6778530705220676	-273.0	
-6.7670411560119925	1480.0	1830.0	3.0577891607054926	6.535654046352785	2653.0	0.0	1645.050048828125	53905.0	0.765	827.0	-648.0	-0.4817813765182186	-361.0	0.340080971659919	0.5811286129377581	-25.0	165.0	-2.70719573795237	-0.794296140285769	-177.0	
-6.767166671357683	1477.0	1831.0	3.0452376261365024	6.571546338821201	2653.0	0.0	1664.581298828125	54545.0	0.7525000000000001	822.0	-643.0	-0.4716599190283401	-352.0	0.32186234817813764	-2.553907325279095	11.0	168.0	-2.6224255099839286	-1.3458498496985811	28.0	
-6.707158781622764	1484.0	1827.0	3.0936456472474627	6.48877722874318	2648.0	0.0	1684.112548828125	55185.0	0.7525000000000001	822.0	-643.0	-0.4716599190283401	-352.0	0.32186234817813764	-3.0738645052760365	7.0	152.0	-2.3561516473600466	-1.2818091764398427	62.0	
-6.837722757696223	1481.0	1824.0	3.1324861351394864	6.524392977053538	2659.0	0.0	1703.643798828125	55825.0	0.7525000000000001	822.0	-643.0	-0.4716599190283401	-352.0	0.32186234817813764	-2.0492430035173577	-30.0	193.0	-3.0334184439805036	-0.7208359490554258	-5.0	
-6.754530478658185	1479.0	1825.0	3.118380705610087	6.5490391767955	2652.0	0.0	1723.175048828125	56465.0	0.7625000000000001	826.0	-646.0	-0.4777327935222672	-350.0	0.31781376518218624	-2.09512157822297	8.0	152.0	-2.395144020368287	-1.2975435838280498	-2.0	
-6.814036307010345	1484.0	1825.0	3.1201788227750864	6.488239116999856	2657.0	0.0	1742.706298828125	57105.0	0.7625000000000001	826.0	-646.0	-0.4777327935222672	-350.0	0.31781376518218624	-1.0246215017586788	51.0	140.0	-2.2467937438640724	-1.9558728783623789	-72.0	
-6.802133937003575	1484.0	1825.0	3.1199396329759104	6.48835335690394	2656.0	0.0	1762.237548828125	57745.0	0.7625000000000001	826.0	-646.0	-0.4777327935222672	-350.0	0.31781376518218624	-0.13763572411683744	12.0	127.0	-2.088304137054865	-1.3558531196274153	-130.0	
-6.87391386405422	1484.0	1828.0	3.0848040707684112	6.4869328463892835	2662.0	0.0	1781.768798828125	58385.0	0.7625000000000001	826.0	-646.0	-0.4777327935222672	-350.0	0.31781376518218624	-0.48937146352653316	26.0	105.0	-1.7337124634683854	-1.567129974105299	-107.0	
-6.79084107868018	1484.0	1830.0	3.0587492748391396	6.487242478324438	2655.0	0.0	1801.300048828125	59025.0	0.765	827.0	-640.0	-0.46558704453441296	-360.0	0.33805668016194335	-1.1622572258755162	-8.0	68.0	-1.1429300269247258	-1.0395097053636158	-63.0	
-6.778448690654033	1486.0	1826.0	3.107511886977686	6.464245268905303	2654.0	0.0	1820.831298828125	59665.0	0.765	827.0	-640.0	-0.46558704453441296	-360.0	0.33805668016194335	1.0093286435234747	45.0	61.0	-1.113988037367326	-1.8524779193486618	-205.0	
-6.814397196675017	1488.0	1828.0	3.0840898563078247	6.439320957689525	2657.0	0.0	1840.362548828125	60305.0	0.765	827.0	-640.0	-0.46558704453441296	-360.0	0.33805668016194335	1.3916500994035788	30.0	46.0	-0.9008701466685146	-1.6201794855698002	-230.0	
-6.921524548417639	1483.0	1828.0	3.0856403963312924	6.4985216588279915	2666.0	0.0	1859.893798828125	60945.0	0.7575000000000001	824.0	-644.0	-0.4736842105263158	-359.0	0.3360323886639676	0.3976143141153082	13.0	20.0	-0.46382251123794727	-1.3549527870273712	-165.0	
-6.861643378364748	1486.0	1825.0	3.1213764492394387	6.463690613273431	2661.0	0.0	1879.425048828125	61585.0	0.7575000000000001	824.0	-644.0	-0.4736842105263158	-359.0	0.3360323886639676	-1.2998929499923537	65.0	-7.0	0.02732851561514664	-2.147954426981335	-54.0	
-6.789619646640752	1486.0	1820.0	3.180892478781975	6.465601171181521	2655.0	0.0	1898.956298828125	62225.0	0.7575000000000001	824.0	-644.0	-0.4736842105263158	-359.0	0.3360323886639676	0.24468573176326658	70.0	-43.0	0.5200242828034397	-2.219749887600077	-155.0	
-6.8488828746558985	1490.0	1818.0	3.206950629648189	6.417336930834356	2660.0	0.0	1918.487548828125	62865.0	0.7575000000000001	824.0	-644.0	-0.4736842105263158	-359.0	0.3360323886639676	1.7280929805780703	90.0	-71.0	0.8944224185429333	-2.52289557940518	-252.0	
-6.9086421423721145	1487.0	1820.0	3.1834048104075614	6.4524130000856355	2665.0	0.0	1938.018798828125	63505.0	0.7525000000000001	822.0	-640.0	-0.46558704453441296	-351.0	0.31983805668016196	1.6669215476372536	19.0	-49.0	0.5475998992499136	-1.436905464871242	-248.0	
-6.765819723972564	1482.0	1820.0	3.179932364648328	6.514012739209868	2653.0	0.0	1957.550048828125	64145.0	0.7525000000000001	822.0	-640.0	-0.46558704453441296	-351.0	0.31983805668016196	-0.6575929041137789	-11.0	-59.0	0.7897754035199599	-0.9741492000847943	-96.0	
-6.741771179285673	1482.0	1818.0	3.2038344523850135	6.51473126641147	2651.0	0.0	1977.081298828125	64785.0	0.7525000000000001	822.0	-640.0	-0.46558704453441296	-351.0	0.31983805668016196	-0.8105214864658206	20.0	-56.0	0.7545061170223492	-1.4501808863516426	-86.0	
-6.777100538932577	1492.0	1815.0	3.2423270591233355	6.394665897238924	2654.0	0.0	1996.612548828125	65425.0	0.755	823.0	-642.0	-0.46963562753036436	-341.0	0.29959514170040485	-1.1622572258755162	62.0	-34.0	0.436642540627476	-2.097827835756837	-63.0	
-6.7413958375849425	1490.0	1815.0	3.2413686224581593	6.419100161061265	2651.0	0.0	2016.143798828125	529.0	0.755	823.0	-642.0	-0.46963562753036436	-341.0	0.29959514170040485	-1.3610643829331703	14.0	-39.0	0.5141329701348661	-1.360517715871768	-50.0	
-6.669866941225675	1484.0	1814.0	3.2514011155276785	6.492305256512754	2645.0	0.0	2035.675048828125	1169.0	0.755	823.0	-642.0	-0.46963562753036436	-341.0	0.29959514170040485	-0.5811286129377581	-15.0	-64.0	0.8630069737935014	-0.9120389497495592	-101.0	
-6.64642188654047	1489.0	1817.0	3.214954203095888	6.431569804955548	2643.0	0.0	2055.206298828125	1809.0	0.765	827.0	-643.0	-0.4716599190283401	-341.0	0.29959514170040485	1.2234286588163328	40.0	-58.0	0.7069862576981945	-1.7575457581073821	-219.0	
-6.681768106896107	1485.0	1814.0	3.251760738960679	6.480145244553626	2646.0	0.0	2074.737548828125	2449.0	0.765	827.0	-643.0	-0.4716599190283401	-341.0	0.29959514170040485	0.6423000458785748	-30.0	-71.0	0.9194382539576217	-0.6813073820760446	-181.0	
-6.634404840215053	1483.0	1816.0	3.2261826451612885	6.504203700886618	2642.0	0.0	2094.268798828125	3089.0	0.765	827.0	-643.0	-0.4716599190283401	-341.0	0.29959514170040485	-0.749350053525004	-21.0	-59.0	0.7919110275681915	-0.820683007263063	-90.0	
-6.491814183125471	1488.0	1818.0	3.1995340684052547	6.4448556720669705	2630.0	0.0	2113.800048828125	3729.0	0.765	827.0	-643.0	-0.4716599190283401	-341.0	0.29959514170040485	-0.9022786358770455	3.0	-61.0	0.8324712886836856	-1.188545012446906	-80.0	
-6.491938494134823	1486.0	1819.0	3.187102967470088	6.468702192480343	2630.0	0.0	2133.331298828125	4369.0	0.765	827.0	-648.0	-0.4817813765182186	-341.0	0.29959514170040485	1.6210429729316411	-15.0	-18.0	0.06741622073383155	-0.919994857280156	-245.0	
-6.587286582543689	1480.0	1820.0	3.176103650393037	6.539817881881219	2638.0	0.0	2152.862548828125	5009.0	0.765	827.0	-648.0	-0.4817813765182186	-341.0	0.29959514170040485	1.0246215017586788	-45.0	32.0	-0.6823677313608257	-0.4671581870573554	-206.0	
-6.587530387217039	1480.0	1822.0	3.1517231830579995	6.539327834487785	2638.0	0.0	2172.393798828125	5649.0	0.765	827.0	-648.0	-0.4817813765182186	-341.0	0.29959514170040485	-1.3916500994035788	31.0	78.0	-1.2815785873487617	-1.6393310536347276	-48.0	
-6.562860287483391	1490.0	1815.0	3.2377807754705157	6.420813759622527	2636.0	0.0	2191.925048828125	6289.0	0.7625000000000001	826.0	-648.0	-0.4817813765182186	-341.0	0.29959514170040485	-2.0645358617525615	99.0	114.0	-1.797938231855157	-2.6879195388322854	-4.0	
-6.633906391841308	1492.0	1812.0	3.276027482535777	6.396771847178085	2642.0	0.0	2211.456298828125	6929.0	0.7625000000000001	826.0	-648.0	-0.4817813765182186	-341.0	0.29959514170040485	-1.0705000764642914	29.0	118.0	-1.9099585953301756	-1.6149258863982918	-69.0	
-6.646057383866782	1488.0	1814.0	3.251404470464621	6.444350648100744	2643.0	0.0	2230.987548828125	7569.0	0.7625000000000001	826.0	-648.0	-0.4817813765182186	-341.0	0.29959514170040485	-1.1010857929346995	-30.0	117.0	-1.9024069183125678	-0.7095258337987465	-67.0	
-6.634152605187335	1490.0	1814.0	3.2514061479330922	6.42037334389474	2642.0	0.0	2250.518798828125	8209.0	0.7625000000000001	826.0	-648.0	-0.4817813765182186	-341.0	0.29959514170040485	-1.4069429576387829	-14.0	97.0	-1.5801047668585109	-0.9518145508142043	-47.0	
-6.586306546504934	1484.0	1812.0	3.2741072542684826	6.493594983234778	2638.0	0.0	2270.050048828125	8849.0	0.77	829.0	-646.0	-0.4777327935222672	-354.0	0.3259109311740891	0.09175714941122497	-72.0	75.0	-1.3105700496686294	-0.05913915147106102	-145.0	
-6.6698693498983515	1482.0	1814.0	3.2511602482600312	6.516396800622843	2645.0	0.0	2289.581298828125	9489.0	0.77	829.0	-646.0	-0.4777327935222672	-354.0	0.3259109311740891	2.1257072946933784	-33.0	119.0	-2.0626874460442357	-0.6650951881016883	-278.0	
-6.681645000223094	1486.0	1813.0	3.264071406262021	6.468344496195298	2646.0	0.0	2309.112548828125	10129.0	0.77	829.0	-646.0	-0.4777327935222672	-354.0	0.3259109311740891	1.8504358464597035	19.0	143.0	-2.41283641495066	-1.4665098280132478	-260.0	
-6.669986434889674	1486.0	1815.0	3.239451749127807	6.467968688705948	2645.0	0.0	2328.643798828125	10769.0	0.7625000000000001	826.0	-649.0	-0.48380566801619435	-341.0	0.29959514170040485	1.2081358005811287	-29.0	148.0	-2.471415151821664	-0.7305603997919623	-218.0	
-6.681766902559769	1486.0	1814.0	3.2518811725945023	6.468099472498581	2646.0	0.0	2348.175048828125	11409.0	0.7625000000000001	826.0	-649.0	-0.48380566801619435	-341.0	0.29959514170040485	1.6669215476372536	-30.0	152.0	-2.5514410194928714	-0.7160161748105495	-248.0	
-6.682130200897118	1488.0	1817.0	3.215551338859593	6.44327285729834	2646.0	0.0	2367.706298828125	12049.0	0.7625000000000001	826.0	-649.0	-0.48380566801619435	-341.0	0.29959514170040485	1.6363358311668452	-36.0	151.0	-2.5357575793127736	-0.6237924384599991	-246.0	
-6.670227830890348	1488.0	1817.0	3.215312149060417	6.443387097202424	2645.0	0.0	2387.237548828125	12689.0	0.7675000000000001	828.0	-642.0	-0.46963562753036436	-355.0	0.32793522267206476	0.8564000611714331	-39.0	140.0	-2.3358357374742282	-0.5757597690672389	-195.0	
-6.658444954547576	1490.0	1818.0	3.2031235928613695	6.4191647692997025	2644.0	0.0	2406.768798828125	13329.0	0.7675000000000001	828.0	-642.0	-0.46963562753036436	-355.0	0.32793522267206476	0.7799357699954123	-1.0	152.0	-2.511515680660225	-1.1606069475078453	-190.0	
-6.587268517498615	1495.0	1820.0	3.1779101549003923	6.359131301055552	2638.0	0.0	2426.300048828125	13969.0	0.7675000000000001	828.0	-642.0	-0.46963562753036436	-355.0	0.32793522267206476	0.29056430646887904	30.0	143.0	-2.34876006778335	-1.6346583847809486	-158.0	
-6.551075002467942	1494.0	1816.0	3.2258330865391156	6.372499887609717	2635.0	0.0	2445.831298828125	14609.0	0.7675000000000001	828.0	-642.0	-0.46963562753036436	-355.0	0.32793522267206476	0.24468573176326658	-5.0	171.0	-2.7829550433519468	-1.1019434065022629	-155.0	
-6.444074370407348	1495.0	1817.0	3.211610578312834	6.361237250994713	2626.0	0.0	2465.362548828125	15249.0	0.765	827.0	-648.0	-0.4817813765182186	-348.0	0.31376518218623484	0.8105214864658206	11.0	187.0	-3.049222711544521	-1.3501178217141871	-192.0	
-6.5275152714640905	1493.0	1818.0	3.2008538059719016	6.384284092079495	2633.0	0.0	2484.893798828125	15889.0	0.765	827.0	-648.0	-0.4817813765182186	-348.0	0.31376518218623484	2.355100168221441	-23.0	196.0	-3.254642681224623	-0.8304595770347414	-293.0	
-6.38480512071051	1496.0	1819.0	3.1861545956157387	6.349272631066655	2621.0	0.0	2504.425048828125	16529.0	0.765	827.0	-648.0	-0.4817813765182186	-348.0	0.31376518218623484	2.4162716011622574	-1.0	201.0	-3.3306173990896166	-1.1687979646921391	-297.0	
-6.361856105726372	1494.0	1826.0	3.100103713077107	6.371877489107893	2619.0	0.0	2523.956298828125	17169.0	0.76	825.0	-649.0	-0.48380566801619435	-353.0	0.32388663967611336	2.7221287658663407	-25.0	240.0	-3.9463804919531347	-0.8066879878257767	-317.0	
-6.361609892380345	1496.0	1824.0	3.124725047679792	6.348275992391239	2619.0	0.0	2543.487548828125	17809.0	0.76	825.0	-649.0	-0.48380566801619435	-353.0	0.32388663967611336	2.6303716164551156	19.0	295.0	-4.781898770002588	-1.490200451563767	-311.0	
-6.409220576743763	1495.0	1824.0	3.1255613732426735	6.359864804829946	2623.0	0.0	2563.018798828125	18449.0	0.76	825.0	-649.0	-0.48380566801619435	-353.0	0.32388663967611336	1.238721517051537	-5.0	412.0	-6.529463805120957	-1.1394084941199532	-220.0	
-6.349338202354535	1499.0	1821.0	3.1614178597846436	6.312987987220341	2618.0	0.0	2582.550048828125	19089.0	0.76	825.0	-649.0	-0.48380566801619435	-353.0	0.32388663967611336	0.7340571952897997	80.0	469.0	-7.3729382601284374	-2.4521243496106444	-187.0	
-6.420869507386477	1503.0	1822.0	3.1511444994474767	6.26387443587894	2624.0	0.0	2602.081298828125	19729.0	0.765	827.0	-647.0	-0.47975708502024295	-352.0	0.32186234817813764	2.492735892338278	26.0	515.0	-8.159076264085568	-1.631383612111471	-302.0	
-6.4802546377383	1507.0	1821.0	3.1650124166461717	6.215365171835058	2629.0	0.0	2621.612548828125	20369.0	0.765	827.0	-647.0	-0.47975708502024295	-352.0	0.32186234817813764	3.82321455880104	95.0	526.0	-8.370891273251711	-2.692271134613751	-389.0	
-6.504549395771218	1505.0	1825.0	3.1164889943068013	6.238248141350111	2631.0	0.0	2641.143798828125	21009.0	0.765	827.0	-647.0	-0.47975708502024295	-352.0	0.32186234817813764	3.8079217005658363	48.0	552.0	-8.777389287444663	-1.97514538282381	-388.0	
-6.516695570451339	1505.0	1827.0	3.09234771677094	6.237643854052592	2632.0	0.0	2660.675048828125	21649.0	0.76	825.0	-650.0	-0.4858299595141701	-341.0	0.29959514170040485	3.5632359688025694	72.0	568.0	-9.01001190199132	-2.345739216764274	-372.0	
-6.457542201409483	1511.0	1830.0	3.055303668575444	6.165205350152594	2627.0	0.0	2680.206298828125	22289.0	0.76	825.0	-650.0	-0.4858299595141701	-341.0	0.29959514170040485	3.7161645511546113	132.0	613.0	-9.699054650631075	-3.2732986637381667	-382.0	
-6.504783565753862	1513.0	1827.0	3.093071996042353	6.141391917516321	2631.0	0.0	2699.737548828125	22929.0	0.76	825.0	-650.0	-0.4858299595141701	-341.0	0.29959514170040485	4.282000305857165	116.0	666.0	-10.539318362726975	-3.0361895623291266	-419.0	
-6.58858415213894	1516.0	1831.0	3.046346690867982	6.103474827235729	2638.0	0.0	2719.268798828125	23569.0	0.7525000000000001	822.0	-652.0	-0.4898785425101215	-330.0	0.2773279352226721	4.756078911148494	145.0	692.0	-10.95372863665484	-3.4853236911540275	-450.0	
