Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no units	m/(s^2)	no units	no units	m/(s^2)	no units	ms	no units	local_flux	no units	no units	local_flux	no units	local_flux	deg/s	no units	deg/s	no units	deg/s	no units	
-1.441990200903074	1839.0	9.778556563622388	1265.0	2188.0	2.7580644588079153	0.0	290.985107421875	9535.0	0.3108695652173913	1044.0	297.0	2.1292929292929292	185.0	-1.8882235528942117	0.2396002350559666	57.0	-0.3985725285640213	56.0	-0.2001146335292669	-60.0	
-1.4065083238574652	1836.0	9.703961125520104	1271.0	2185.0	2.7938179015106015	0.0	310.516357421875	10175.0	0.30869565217391304	1043.0	293.0	2.121212121212121	190.0	-1.8982035928143715	-0.42112489671600445	86.0	-0.03509339887884261	36.0	-0.6345720209948171	-17.0	
-1.381269899872279	1841.0	9.729041356488958	1269.0	2183.0	2.73408012420472	0.0	330.047607421875	10815.0	0.30869565217391304	1043.0	292.0	2.1191919191919193	199.0	-1.916167664670659	-0.08735457888940758	112.0	-0.02751381875715124	35.0	-1.0333469865304976	-39.0	
-1.3572533010603125	1839.0	9.715881803441503	1270.0	2181.0	2.758285080204534	0.0	349.578857421875	11455.0	0.30434782608695654	1041.0	299.0	2.1333333333333333	192.0	-1.9021956087824354	0.35436212063966716	135.0	-0.014279898110860618	33.0	-1.3875740394573475	-68.0	
-1.3442149774363474	1840.0	9.7890154981281	1264.0	2180.0	2.7470986076165556	0.0	369.110107421875	12095.0	0.30217391304347824	1040.0	286.0	2.107070707070707	214.0	-1.946107784431138	1.0162807226896509	143.0	0.30433757729357425	9.0	-1.5158662292801284	-111.0	
-1.3926166655138483	1841.0	9.814619299224908	1262.0	2184.0	2.734822435975664	0.0	388.641357421875	12735.0	0.3130434782608696	1045.0	288.0	2.111111111111111	205.0	-1.9281437125748506	1.65908587947438	143.0	0.12466580464822363	18.0	-1.5222942808479758	-153.0	
-1.4291845849041385	1844.0	9.77950252026499	1265.0	2187.0	2.697961010678909	0.0	408.172607421875	13375.0	0.3	1039.0	294.0	2.1232323232323234	191.0	-1.9001996007984034	1.0139621163589605	163.0	0.37663626766692215	5.0	-1.820025552722525	-111.0	
-1.3807850556061958	1842.0	9.76585053050906	1266.0	2183.0	2.7224048716164977	0.0	427.703857421875	14015.0	0.30869565217391304	1043.0	296.0	2.1272727272727274	200.0	-1.918163672654691	-0.1149737201441782	127.0	0.5082715799437596	0.0	-1.2612076772472274	-37.0	
-1.3800567098172918	1844.0	9.815088385868773	1262.0	2183.0	2.6988081480858153	0.0	447.235107421875	14655.0	0.3	1039.0	290.0	2.1151515151515152	208.0	-1.9341317365269464	-0.23707038438796482	127.0	0.576739522767631	-4.0	-1.2599867106047895	-29.0	
-1.3805393953038168	1844.0	9.766327400507794	1266.0	2183.0	2.69831571137734	0.0	466.766357421875	15295.0	0.29782608695652174	1038.0	287.0	2.109090909090909	211.0	-1.940119760479042	-1.0953619446897802	122.0	0.6184422865214543	-3.0	-1.1753581676253457	27.0	
-1.3437193392724731	1846.0	9.766065615443818	1266.0	2180.0	2.6745849085448454	0.0	486.297607421875	15935.0	0.3108695652173913	1044.0	291.0	2.117171717171717	190.0	-1.8982035928143715	-1.2360286932116793	138.0	0.6079815250265092	-1.0	-1.4172975077446894	36.0	
-1.3553031300981886	1848.0	9.803359442817525	1263.0	2181.0	2.650745623368157	0.0	505.828857421875	16575.0	0.3065217391304348	1042.0	290.0	2.1151515151515152	198.0	-1.914171656686627	-1.2512002160776288	142.0	0.6864334418346545	-6.0	-1.4779822944171706	37.0	
-1.393095033441257	1843.0	9.741954691182176	1268.0	2184.0	2.7099946206737937	0.0	525.360107421875	17215.0	0.30434782608695654	1041.0	299.0	2.1333333333333333	206.0	-1.9301397205588824	-1.2084497568695607	151.0	0.4940307463192385	7.0	-1.6152919282868177	34.0	
-1.3186080629975925	1848.0	9.814811034095056	1262.0	2178.0	2.651227089951938	0.0	544.891357421875	17855.0	0.30434782608695654	1041.0	288.0	2.111111111111111	198.0	-1.914171656686627	0.13270807026208412	200.0	0.2955635137493015	16.0	-2.373950654847108	-54.0	
-1.4527098631113469	1850.0	9.793615813309916	1264.0	2189.0	2.62557773420078	0.0	564.422607421875	18495.0	0.30434782608695654	1041.0	294.0	2.1232323232323234	196.0	-1.9101796407185632	0.500913162011956	230.0	0.7379625023776306	-14.0	-2.833906470023162	-78.0	
-1.4038233307677628	1850.0	9.80482118623321	1263.0	2185.0	2.626178653253449	0.0	583.953857421875	19135.0	0.30217391304347824	1040.0	293.0	2.121212121212121	205.0	-1.9281437125748506	-0.6358410376401487	225.0	0.5591662058602193	3.0	-2.746493300650215	-4.0	
-1.5124539992713013	1853.0	9.880893934460918	1257.0	2194.0	2.5897084957374377	0.0	603.485107421875	19775.0	0.3	1039.0	297.0	2.1292929292929292	200.0	-1.918163672654691	-0.3952441099037051	263.0	0.6405010491528259	-2.0	-3.326846037988416	-20.0	
-1.559513190803951	1861.0	9.956927765914276	1251.0	2198.0	2.4936126999679695	0.0	623.016357421875	20415.0	0.3065217391304348	1042.0	292.0	2.1191919191919193	194.0	-1.9061876247504992	-1.5488137818174157	263.0	0.3909544158592496	20.0	-3.3153103412692784	55.0	
-1.6316879761705976	1865.0	10.008119801398152	1247.0	2204.0	2.445210101384805	0.0	642.547607421875	21055.0	0.30434782608695654	1041.0	289.0	2.113131313131313	208.0	-1.9341317365269464	-1.8085967360101745	275.0	0.6862007571654694	2.0	-3.4952220174307733	72.0	
-1.8119999506564664	1877.0	10.124386513766328	1238.0	2219.0	2.299991335510616	0.0	662.078857421875	21695.0	0.30869565217391304	1043.0	298.0	2.1313131313131315	200.0	-1.918163672654691	-2.1750923967147457	299.0	1.236054743043063	-32.0	-3.8565760722305713	96.0	
-2.127506243939446	1888.0	10.145601222309795	1237.0	2245.0	2.1645182991812932	0.0	681.610107421875	22335.0	0.30869565217391304	1043.0	298.0	2.1313131313131315	203.0	-1.9241516966067866	-2.2368280616771887	291.0	2.6147949699999438	-124.0	-3.7342857117786656	101.0	
-2.417659918204282	1901.0	10.239941842184988	1230.0	2269.0	2.0059336626133004	0.0	701.141357421875	22975.0	0.29782608695652174	1038.0	297.0	2.1292929292929292	217.0	-1.9520958083832338	-3.810550227696027	266.0	4.47823234955843	-242.0	-3.3383203532363477	205.0	
-2.670504374612575	1919.0	10.346926228334551	1222.0	2290.0	1.7876075920311951	0.0	720.672607421875	23615.0	0.30217391304347824	1040.0	291.0	2.117171717171717	220.0	-1.9580838323353296	-7.255042940630593	228.0	7.843276958762689	-452.0	-2.7259286580461652	432.0	
-2.6201481980138333	1929.0	10.384896443932012	1219.0	2286.0	1.6680089282423136	0.0	740.203857421875	24255.0	0.3065217391304348	1042.0	298.0	2.1313131313131315	201.0	-1.9201596806387229	-11.957751936651388	132.0	11.890293407588377	-704.0	-1.2188255224585811	742.0	
-2.6063728934827313	1936.0	10.459460748614816	1213.0	2285.0	1.5845549749368626	0.0	759.735107421875	24895.0	0.30869565217391304	1043.0	296.0	2.1272727272727274	208.0	-1.9341317365269464	-12.773674667488319	20.0	16.076845797000612	-984.0	0.4927557580817274	799.0	
-2.581252982089618	1942.0	10.460398921902549	1213.0	2283.0	1.512526399157165	0.0	779.266357421875	25535.0	0.30217391304347824	1040.0	299.0	2.1333333333333333	219.0	-1.9560878243512976	-10.09640227448647	12.0	21.237964556376554	-1341.0	0.5876560379539904	628.0	
-2.7764392561286195	1941.0	10.46409998057098	1213.0	2299.0	1.5226597397745436	0.0	798.797607421875	26175.0	0.30217391304347824	1040.0	306.0	2.1474747474747473	199.0	-1.916167664670659	-6.459070138763485	-27.0	26.77817145826165	-1729.0	1.144438610132882	395.0	
-2.862016538013684	1943.0	10.4175393936884	1217.0	2306.0	1.4972419755446984	0.0	818.328857421875	26815.0	0.30869565217391304	1043.0	306.0	2.1474747474747473	198.0	-1.914171656686627	-4.6558091659751	-23.0	32.20232434143822	-2099.0	1.0655694985038575	281.0	
-2.824343147262688	1949.0	10.454802087642628	1214.0	2303.0	1.4257021797652447	0.0	837.860107421875	27455.0	0.30217391304347824	1040.0	298.0	2.1313131313131315	214.0	-1.946107784431138	-7.102912160788898	-61.0	38.61639140587147	-2517.0	1.6679872965128322	445.0	
-2.61563154655408	1953.0	10.549092086340018	1206.0	2286.0	1.3805394246749674	0.0	857.391357421875	28095.0	0.3	1039.0	307.0	2.1494949494949496	208.0	-1.9341317365269464	-11.985653540774443	-151.0	44.703576304732174	-2904.0	3.0856360030883527	768.0	
-2.1142127437603553	1953.0	10.697470336239459	1193.0	2245.0	1.387037395201899	0.0	876.922607421875	28735.0	0.30434782608695654	1041.0	300.0	2.1353535353535356	200.0	-1.918163672654691	-12.689980554626354	-338.0	51.23553485551655	-3344.0	5.9367857371051995	820.0	
-2.052656378246374	1951.0	10.781094098851247	1186.0	2240.0	1.4125855820253252	0.0	896.453857421875	29375.0	0.30434782608695654	1041.0	294.0	2.1232323232323234	211.0	-1.940119760479042	-5.1227296246931635	-487.0	58.26438471450472	-3854.0	8.127272923623359	333.0	
-2.1404273326163827	1943.0	10.634627191253033	1198.0	2247.0	1.506628745574318	0.0	915.985107421875	30015.0	0.3108695652173913	1044.0	297.0	2.1292929292929292	198.0	-1.914171656686627	4.309325025997199	-602.0	65.04919611144146	-4355.0	9.78200180677425	-276.0	
-2.2036946851287835	1935.0	10.499858093286589	1209.0	2252.0	1.601033923238204	0.0	935.516357421875	30655.0	0.3130434782608696	1045.0	297.0	2.1292929292929292	202.0	-1.9221556886227547	10.590578854058675	-735.0	72.642052825216	-4896.0	11.742002956706564	-679.0	
-2.181634733617616	1921.0	10.435076334885743	1214.0	2250.0	1.769281403964488	0.0	955.047607421875	31295.0	0.30869565217391304	1043.0	288.0	2.111111111111111	205.0	-1.9281437125748506	10.65530242077571	-1038.0	86.78604704742042	-5852.0	16.3497207400508	-671.0	
-1.9905836679074502	1907.0	10.196184070762149	1233.0	2234.0	1.9374776907755344	0.0	974.578857421875	31935.0	0.30217391304347824	1040.0	289.0	2.113131313131313	205.0	-1.9281437125748506	7.781441943220045	-1181.0	93.43580317312257	-6288.0	18.553364287792135	-478.0	
-1.7995347609768426	1892.0	9.969243617979428	1251.0	2218.0	2.1178416668832782	0.0	994.110107421875	32575.0	0.3130434782608696	1045.0	280.0	2.094949494949495	184.0	-1.88622754491018	7.5520619186839335	-1266.0	101.43603900520982	-6824.0	19.848433753436733	-457.0	
-1.4224461968251838	1891.0	9.88823093595723	1257.0	2187.0	2.1328506184756573	0.0	1013.641357421875	33215.0	0.32608695652173914	1051.0	270.0	2.0747474747474746	189.0	-1.8962075848303395	4.854997670304404	-1347.0	108.29111878951753	-7272.0	21.10734355941863	-276.0	
-1.0454977330611797	1881.0	9.902594309662678	1255.0	2156.0	2.257245664561195	0.0	1033.172607421875	33855.0	0.32173913043478264	1049.0	270.0	2.0747474747474746	197.0	-1.9121756487025952	2.067951005652131	-1419.0	113.95853633531885	-7640.0	22.230271060285688	-90.0	
