Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no units	m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	ms	local_flux	no units	local_flux	no units	no units	local_flux	no units	deg/s	deg/s	no units	deg/s	no units	
1876.0	-8.536746555991611	2389.0	-3.674655599161157	2796.0	1.6122237598062583	0.0	63769.0	1946.075439453125	0.0	521.0	-0.9331983805668016	-871.0	-6.0	-0.3785425101214575	-2409.0	156.82826120201867	18.93213373648089	-1672.0	36.00334619542834	-10394.0	
1879.0	-8.611326623776772	2415.0	-3.989805234820118	2802.0	1.5690303881019743	0.0	64409.0	1965.606689453125	0.0	521.0	-0.9331983805668016	-871.0	-6.0	-0.3785425101214575	-2381.0	143.76816026915432	15.36751248799126	-1406.0	35.53805444051594	-9540.0	
1860.0	-8.542860942206783	2439.0	-4.286094220678278	2796.0	1.7927049278511134	0.0	65049.0	1985.137939453125	-0.1625	456.0	-0.9311740890688259	-870.0	-18.0	-0.354251012145749	-2095.0	128.9493806392415	15.527283203950017	-1375.0	31.151129821451807	-8571.0	
1871.0	-8.2257502861079	2474.0	-4.717885753647136	2769.0	1.6547100832707973	0.0	153.0	2004.669189453125	-0.1625	456.0	-0.9311740890688259	-870.0	-18.0	-0.354251012145749	-1663.0	112.05077228934088	15.946446564432566	-1354.0	24.526504514746673	-7466.0	
1891.0	-8.039189154046419	2506.0	-5.109391595118085	2753.0	1.4077817223403066	0.0	793.0	2024.200439453125	-0.1625	456.0	-0.9311740890688259	-870.0	-18.0	-0.354251012145749	-1554.0	104.20553601468116	15.354105803595179	-1294.0	22.84803238840269	-6953.0	
1892.0	-7.935845592086081	2537.0	-5.489321113369931	2744.0	1.3891683748237889	0.0	1433.0	2043.731689453125	-0.28	409.0	-0.9331983805668016	-871.0	-18.0	-0.354251012145749	-1463.0	97.56843554060255	13.710936509018302	-1169.0	21.43525268256755	-6519.0	
1883.0	-7.986269664883735	2560.0	-5.769823631230572	2748.0	1.4914878186783582	0.0	2073.0	2063.262939453125	-0.28	409.0	-0.9331983805668016	-871.0	-18.0	-0.354251012145749	-1391.0	87.33751338125096	12.131686993555459	-1039.0	20.314657364027934	-5850.0	
