Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	no units	no units	ms	local_flux	no units	local_flux	no units	no units	local_flux	no units	deg/s	no units	deg/s	deg/s	no units	
2639.0	4.326123943496005	-4.292367555161406	2426.0	-7.46427285865622	1715.0	0.0	9979.0	304.534912109375	-0.6725	252.0	0.708502024291498	-60.0	-52.0	-0.28542510121457493	-117.0	-2.997400214100016	-25.0	0.344150643635029	0.6479098200775963	57.0	
2634.0	4.421093077195124	-4.319263709058973	2428.0	-7.403620126541758	1707.0	0.0	10619.0	324.066162109375	-0.6725	252.0	0.708502024291498	-60.0	-52.0	-0.28542510121457493	-109.0	-1.8504358464597035	-30.0	0.3764076463457302	0.5254765208397041	-18.0	
2634.0	4.325874117140963	-4.317350190665563	2428.0	-7.404534045774431	1715.0	0.0	11259.0	343.597412109375	-0.6625	256.0	0.6943319838056681	-67.0	-66.0	-0.25708502024291496	-107.0	0.6423000458785748	-19.0	0.10782722063527611	0.49210174926634975	-181.0	
2637.0	4.290414424803018	-4.291890853031525	2426.0	-7.440524034258384	1718.0	0.0	11899.0	363.128662109375	-0.6625	256.0	0.6943319838056681	-67.0	-66.0	-0.25708502024291496	-100.0	-0.2752714482336749	-5.0	-0.06972953445567344	0.3829147961085659	-121.0	
2638.0	4.27790374744921	-4.35248239793612	2431.0	-7.4539091647010975	1719.0	0.0	12539.0	382.659912109375	-0.6625	256.0	0.6943319838056681	-67.0	-66.0	-0.25708502024291496	-104.0	-2.660957332925524	22.0	-0.3902045508019376	0.4410879805776029	35.0	
2641.0	4.360980145832266	-4.378175892963919	2433.0	-7.489736848931076	1712.0	0.0	13179.0	402.191162109375	-0.6725	252.0	0.6902834008097166	-69.0	-56.0	-0.2773279352226721	-134.0	-2.768007340571953	64.0	-1.0365157176378863	0.8949593786529906	42.0	
2641.0	4.539149988923792	-4.41833444095412	2436.0	-7.488758321459964	1697.0	0.0	13819.0	421.722412109375	-0.6725	252.0	0.6902834008097166	-69.0	-56.0	-0.2773279352226721	-130.0	-1.5904572564612327	67.0	-1.129141425739541	0.8326551869394744	-35.0	
2641.0	4.503686683576832	-4.393236404221554	2434.0	-7.488610993778783	1700.0	0.0	14459.0	441.253662109375	-0.6725	252.0	0.6902834008097166	-69.0	-56.0	-0.2773279352226721	-129.0	0.6270071876433706	8.0	-0.3102157670305844	0.825499959868439	-180.0	
2646.0	4.444912269244723	-4.318296885051441	2428.0	-7.547940911394123	1705.0	0.0	15099.0	460.784912109375	-0.6725	252.0	0.6902834008097166	-69.0	-56.0	-0.2773279352226721	-167.0	0.8716929194066372	-61.0	0.7354365077316211	1.4190468616248075	-196.0	
2644.0	4.373495640531426	-4.317102613524031	2428.0	-7.52453480670854	1711.0	0.0	15739.0	480.316162109375	-0.67	253.0	0.7004048582995952	-64.0	-63.0	-0.2631578947368421	-221.0	1.5445786817556202	-73.0	0.8848071056199289	2.2491426851424356	-240.0	
2645.0	4.32625307185071	-4.279454719690945	2425.0	-7.53630246728977	1715.0	0.0	16379.0	499.847412109375	-0.67	253.0	0.7004048582995952	-64.0	-63.0	-0.2631578947368421	-206.0	0.7799357699954123	-30.0	0.256320641239655	2.0126905656267593	-190.0	
2645.0	4.30317974585722	-4.20583493808748	2419.0	-7.535060804917634	1717.0	0.0	17019.0	519.378662109375	-0.67	253.0	0.7004048582995952	-64.0	-63.0	-0.2631578947368421	-155.0	-0.3211500229392874	5.0	-0.23014030525020773	1.2252572895974905	-118.0	
2646.0	4.434107020268029	-4.208345592244595	2419.0	-7.545849938027753	1706.0	0.0	17659.0	538.909912109375	-0.665	255.0	0.708502024291498	-60.0	-66.0	-0.25708502024291496	-76.0	0.16822144058724578	39.0	-0.7605364441702148	0.007739119216422758	-150.0	
2642.0	4.409931755899112	-4.244919648184093	2422.0	-7.4986304007058955	1708.0	0.0	18299.0	558.441162109375	-0.665	255.0	0.708502024291498	-60.0	-66.0	-0.25708502024291496	-3.0	-0.3211500229392874	28.0	-0.5605753709333895	-1.110408577094327	-118.0	
2642.0	4.33827373118514	-4.267864976724074	2424.0	-7.499805887523835	1714.0	0.0	18939.0	577.972412109375	-0.665	255.0	0.708502024291498	-60.0	-66.0	-0.25708502024291496	6.0	0.3517357394096957	31.0	-0.6322493771518566	-1.2492256700796358	-162.0	
2643.0	4.397055371535278	-4.342081894091244	2430.0	-7.512750602238761	1709.0	0.0	19579.0	597.503662109375	-0.665	255.0	0.708502024291498	-60.0	-66.0	-0.25708502024291496	-49.0	1.6363358311668452	49.0	-0.9689196597320185	-0.40864577170856775	-246.0	
2638.0	4.290049922129331	-4.328341120400258	2429.0	-7.453304877403579	1718.0	0.0	20219.0	617.034912109375	-0.675	251.0	0.688259109311741	-70.0	-56.0	-0.2773279352226721	-125.0	1.0705000764642914	51.0	-0.988710555804058	0.7573370773482048	-209.0	
2641.0	4.314711591508612	-4.243126563424507	2422.0	-7.487498547883525	1716.0	0.0	20859.0	636.566162109375	-0.675	251.0	0.688259109311741	-70.0	-56.0	-0.2773279352226721	-147.0	0.1529285823520416	71.0	-1.2630010310925657	1.0921728130740678	-149.0	
2642.0	4.326737068188395	-4.231055085922342	2421.0	-7.499185056337767	1715.0	0.0	21499.0	656.097412109375	-0.675	251.0	0.688259109311741	-70.0	-56.0	-0.2773279352226721	-129.0	0.12234286588163329	60.0	-1.0898281749282468	0.8177038357894625	-147.0	
2644.0	4.326739476861071	-4.230814218654694	2421.0	-7.523276600447856	1715.0	0.0	22139.0	675.628662109375	-0.675	251.0	0.708502024291498	-60.0	-45.0	-0.29959514170040485	-85.0	1.0705000764642914	71.0	-1.2901875923328943	0.14054296065792013	-209.0	
2642.0	4.268200436847946	-4.13233726758631	2413.0	-7.497796066284451	1720.0	0.0	22779.0	695.159912109375	-0.675	251.0	0.708502024291498	-60.0	-45.0	-0.29959514170040485	-44.0	1.146964367640312	59.0	-1.1023867191499785	-0.48670286059337187	-214.0	
2644.0	4.351763240241364	-4.109390261577858	2411.0	-7.520597883672517	1713.0	0.0	23419.0	714.691162109375	-0.675	251.0	0.708502024291498	-60.0	-45.0	-0.29959514170040485	-32.0	0.7799357699954123	110.0	-1.8702821407871786	-0.6785156187072428	-190.0	
