Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	no units	no units	ms	local_flux	no units	no units	local_flux	local_flux	no units	no units	deg/s	deg/s	no units	no units	deg/s	
-6.156814692724867	2660.0	1913.0	2.1756735846562067	-7.692753470414847	2601.0	0.0	30646.0	935.24169921875	0.3775	672.0	-715.0	-0.6174089068825911	-0.402834008097166	6.0	-670.0	6.147729010552073	-0.39869796393068085	-6.0	-541.0	9.125980796945012	
-5.930066172594549	2655.0	1908.0	2.231477978640334	-7.62912893347844	2582.0	0.0	31286.0	954.77294921875	0.3775	672.0	-715.0	-0.6174089068825911	-0.402834008097166	6.0	-596.0	3.211500229392874	-1.1773687119049334	53.0	-349.0	7.982702298764027	
-6.013624158642614	2657.0	1910.0	2.2090127071671777	-7.654510204310553	2589.0	0.0	31926.0	974.30419921875	0.3575	664.0	-718.0	-0.6234817813765182	-0.3785425101214575	-6.0	-479.0	2.5386144670438906	-1.4554996490177827	74.0	-305.0	6.184616401392283	
-5.989575613955723	2657.0	1908.0	2.232914794903863	-7.65379167710895	2587.0	0.0	32566.0	993.83544921875	0.3575	664.0	-718.0	-0.6234817813765182	-0.3785425101214575	-6.0	-392.0	1.804557271754091	-1.9203553880476887	107.0	-257.0	4.844997765745117	
-5.845286754507056	2655.0	1896.0	2.3760864540563262	-7.625388969789245	2575.0	0.0	33206.0	1013.36669921875	0.3575	664.0	-718.0	-0.6234817813765182	-0.3785425101214575	-6.0	-383.0	0.948157210582658	-2.0231483427392134	116.0	-201.0	4.7058694832750785	
-5.762457773806365	2655.0	1900.0	2.325651190792017	-7.625569385247524	2568.0	0.0	33846.0	1032.89794921875	0.3775	672.0	-711.0	-0.6093117408906883	-0.3441295546558705	-23.0	-346.0	-0.8564000611714331	-2.3913369917094682	145.0	-83.0	4.1344417014347545	
-5.6086985694027405	2658.0	1908.0	2.2253811549640465	-7.662181772233301	2555.0	0.0	34486.0	1052.42919921875	0.3775	672.0	-711.0	-0.6093117408906883	-0.3441295546558705	-23.0	-327.0	-0.42820003058571654	-2.128695325278331	127.0	-111.0	3.845522928594693	
-5.620359543408837	2656.0	1906.0	2.249759944830613	-7.637714420633861	2556.0	0.0	35126.0	1071.96044921875	0.3775	672.0	-711.0	-0.6093117408906883	-0.3441295546558705	-23.0	-326.0	0.061171432940816645	-1.1791300157721836	64.0	-143.0	3.8396740980316295	
-5.679143592431651	2653.0	1900.0	2.323735994930136	-7.600678161808847	2561.0	0.0	35766.0	1091.49169921875	0.3775	672.0	-711.0	-0.6093117408906883	-0.3441295546558705	-23.0	-294.0	-1.7586786970484785	-0.778438618361227	43.0	-24.0	3.352657534945742	
-5.464897319300774	2656.0	1900.0	2.3197918794464347	-7.634759159700464	2543.0	0.0	36406.0	1111.02294921875	0.375	671.0	-706.0	-0.5991902834008097	-0.32388663967611336	-33.0	-267.0	-1.7128001223428662	-0.5608010301335631	29.0	-27.0	2.9405328520586465	
-5.381457622580369	2657.0	1899.0	2.3304282181535436	-7.645760228730202	2536.0	0.0	37046.0	1130.55419921875	0.375	671.0	-706.0	-0.5991902834008097	-0.32388663967611336	-33.0	-259.0	-1.1775500841107205	-0.28874794946731336	10.0	-62.0	2.8204975136003094	
-5.345390827231724	2652.0	1896.0	2.365679181589453	-7.584453577652576	2533.0	0.0	37686.0	1150.08544921875	0.375	671.0	-706.0	-0.5991902834008097	-0.32388663967611336	-33.0	-255.0	2.46215017586787	1.0120791319417008	-84.0	-300.0	2.7721278497819	
