Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	ms	no units	local_flux	no units	local_flux	no units	no units	local_flux	no units	deg/s	deg/s	no units	deg/s	no units	
8.61087130281319	2506.0	0.37284456703316615	2035.0	-5.72571150406494	1359.0	0.0	1721.405029296875	56407.0	-0.1675	454.0	1.0748987854251013	121.0	-168.0	-0.05060728744939271	-1800.0	22.480501605750117	-16.05232409539689	958.0	26.308711069311492	-1609.0	
9.622841347667986	2490.0	1.5698490525130664	1935.0	-5.498880629569444	1275.0	0.0	1740.936279296875	57047.0	-0.1675	454.0	1.0748987854251013	121.0	-168.0	-0.05060728744939271	-2204.0	10.368557883468421	-14.214854910002588	866.0	32.5262571590479	-817.0	
10.486724291255777	2460.0	2.24385769700624	1878.0	-5.115315844111173	1203.0	0.0	1760.467529296875	57687.0	-0.145	463.0	1.0607287449392713	114.0	-177.0	-0.032388663967611336	-2242.0	15.13992965285212	-5.706038697399868	300.0	33.194435700182666	-1129.0	
10.586191768048495	2445.0	2.6667958524686344	1843.0	-4.925139514667732	1195.0	0.0	1779.998779296875	58327.0	-0.145	463.0	1.0607287449392713	114.0	-177.0	-0.032388663967611336	-2129.0	28.765866340419027	4.42514846007275	-393.0	31.561820918389287	-2020.0	
9.85247648365857	2416.0	3.104791222999834	1808.0	-4.574319169739562	1257.0	0.0	1799.530029296875	58967.0	-0.145	463.0	1.0607287449392713	114.0	-177.0	-0.032388663967611336	-1927.0	41.30601009328644	10.845144067771251	-841.0	28.526435175525037	-2840.0	
8.58084442624885	2392.0	3.322537862980225	1792.0	-4.2935239310080275	1364.0	0.0	1819.061279296875	59607.0	-0.095	483.0	1.0769230769230769	122.0	-189.0	-0.008097165991902834	-1539.0	34.745373910383854	14.596972430152132	-1064.0	22.61029379979638	-2411.0	
7.698014771069455	2407.0	3.1348104402788026	1809.0	-4.486829667580115	1438.0	0.0	1838.592529296875	60247.0	-0.095	483.0	1.0769230769230769	122.0	-189.0	-0.008097165991902834	-1281.0	14.757608196972015	16.71258692251465	-1147.0	18.672573160923783	-1104.0	
7.159595936666902	2400.0	2.8643555714520343	1832.0	-4.413285603903085	1483.0	0.0	1858.123779296875	60887.0	-0.095	483.0	1.0769230769230769	122.0	-189.0	-0.008097165991902834	-1262.0	0.04587857470561248	19.05731345951236	-1261.0	18.404475236789384	-142.0	
6.824847479055824	2384.0	2.722843143677564	1844.0	-4.226692252697336	1511.0	0.0	1877.655029296875	61527.0	-0.095	483.0	1.0769230769230769	122.0	-189.0	-0.008097165991902834	-1422.0	-6.178314727022481	17.820540051014575	-1166.0	20.847224888004398	265.0	
6.549637366878037	2390.0	2.582784306851334	1856.0	-4.304534687182145	1534.0	0.0	1897.186279296875	62167.0	-0.08750000000000001	486.0	1.0789473684210527	123.0	-174.0	-0.038461538461538464	-1591.0	-1.2081358005811287	11.720391657425433	-784.0	23.37944114229161	-60.0	
5.990956186243554	2389.0	2.6670471957839066	1850.0	-4.296388048438755	1581.0	0.0	1916.717529296875	62807.0	-0.08750000000000001	486.0	1.0789473684210527	123.0	-174.0	-0.038461538461538464	-1849.0	-0.04587857470561248	3.574828741215706	-260.0	27.256862296925743	-136.0	
6.256084033110329	2376.0	2.98935569198533	1823.0	-4.130664094021961	1559.0	0.0	1936.248779296875	63447.0	-0.08750000000000001	486.0	1.0789473684210527	123.0	-174.0	-0.038461538461538464	-2067.0	-4.878421777030128	-5.970565011991273	371.0	30.5065057968649	180.0	
7.125694479306292	2381.0	3.0456384068196956	1817.0	-4.181083299118736	1486.0	0.0	1955.780029296875	64087.0	-0.1	481.0	1.0708502024291497	119.0	-175.0	-0.03643724696356275	-2079.0	-10.093286435234747	-15.038401057624036	974.0	30.599961240306072	521.0	
8.078001164839227	2377.0	3.03821172201782	1816.0	-4.123515994875107	1406.0	0.0	1975.311279296875	64727.0	-0.1	481.0	1.0708502024291497	119.0	-175.0	-0.03643724696356275	-1983.0	-16.715094051078147	-20.741922512715114	1363.0	29.06985559457517	954.0	
9.01840427602905	2372.0	3.030903793381297	1815.0	-4.054017158480517	1327.0	0.0	1994.842529296875	65367.0	-0.1	481.0	1.0708502024291497	119.0	-175.0	-0.03643724696356275	-1889.0	-26.823673344548098	-21.07685222872064	1412.0	27.624124833551374	1615.0	
10.017718155923719	2374.0	2.9622917828480646	1819.0	-4.069492645434404	1243.0	0.0	2014.373779296875	471.0	-0.1	481.0	1.0708502024291497	119.0	-175.0	-0.03643724696356275	-1808.0	-30.432787888056282	-17.597840757250395	1196.0	26.416011771957958	1851.0	
10.38463614711885	2388.0	2.7493289975993127	1836.0	-4.238757420022608	1212.0	0.0	2033.905029296875	1111.0	-0.1125	476.0	1.0303643724696356	99.0	-151.0	-0.08502024291497975	-1815.0	-30.61630218687873	-10.470305818991033	733.0	26.594698506947424	1863.0	
10.250448822362603	2413.0	2.4258346172128347	1863.0	-4.547774000155008	1223.0	0.0	2053.436279296875	1751.0	-0.1125	476.0	1.0303643724696356	99.0	-151.0	-0.08502024291497975	-1950.0	-27.358923382780244	-3.3154632880727286	258.0	28.73775222610347	1650.0	
10.07337971331017	2416.0	2.576066569112175	1851.0	-4.5826846305207996	1238.0	0.0	2072.967529296875	2391.0	-0.1125	476.0	1.0303643724696356	99.0	-151.0	-0.08502024291497975	-2247.0	-26.456644746903198	2.6628806762371875	-136.0	33.354847312209664	1591.0	
9.564001397716499	2404.0	2.8287112002212464	1831.0	-4.438147207801543	1281.0	0.0	2092.498779296875	3031.0	-0.15	461.0	1.0748987854251013	121.0	-171.0	-0.04453441295546559	-2543.0	-28.429423459244536	7.525911999793539	-450.0	37.9454447882502	1720.0	
9.699045651838485	2382.0	3.237898517181827	1797.0	-4.163552777957255	1270.0	0.0	2112.030029296875	3671.0	-0.15	461.0	1.0748987854251013	121.0	-171.0	-0.04453441295546559	-2843.0	-33.904266707447626	12.005454012286387	-730.0	42.5935853058126	2078.0	
9.499751715803935	2381.0	3.5466001518219707	1772.0	-4.147323491853714	1287.0	0.0	2131.561279296875	4311.0	-0.15	461.0	1.0748987854251013	121.0	-171.0	-0.04453441295546559	-3000.0	-34.164245297446094	15.92922565388437	-986.0	45.04190695655419	2095.0	
9.05085083424681	2361.0	3.894607234204722	1744.0	-3.9038885035999438	1325.0	0.0	2151.092529296875	4951.0	-0.18	449.0	1.0607287449392713	114.0	-155.0	-0.07692307692307693	-3080.0	-40.327267166233376	19.224208971450206	-1185.0	46.30241548237984	2498.0	
9.281357853096306	2339.0	4.326261500106931	1708.0	-3.627890107129549	1306.0	0.0	2170.623779296875	5591.0	-0.18	449.0	1.0607287449392713	114.0	-155.0	-0.07692307692307693	-3114.0	-50.45113931793853	20.19299306340257	-1222.0	46.83381576767562	3160.0	
9.711297571025767	2332.0	4.463090435910046	1696.0	-3.5365167818366015	1270.0	0.0	2190.155029296875	6231.0	-0.18	449.0	1.0607287449392713	114.0	-155.0	-0.07692307692307693	-2942.0	-56.828261202018666	19.643883921793417	-1168.0	44.18907348706204	3577.0	
10.293181206008445	2339.0	4.318120600844468	1707.0	-3.6179346915856767	1221.0	0.0	2209.686279296875	6871.0	-0.18	449.0	1.0607287449392713	114.0	-155.0	-0.07692307692307693	-2711.0	-53.157975225569665	20.870651216232748	-1255.0	40.656765434979576	3337.0	
10.639576185589561	2345.0	4.433809035146488	1697.0	-3.6844461297303313	1192.0	0.0	2229.217529296875	7511.0	-0.245	423.0	1.048582995951417	108.0	-143.0	-0.10121457489878542	-2446.0	-46.6585104756079	22.281712783558994	-1361.0	36.60458788124974	2912.0	
10.818006694063174	2359.0	4.419717025364857	1698.0	-3.8516183636364087	1177.0	0.0	2248.748779296875	8151.0	-0.245	423.0	1.048582995951417	108.0	-143.0	-0.10121457489878542	-2134.0	-37.71218840801346	25.186334244642932	-1570.0	31.846155194525608	2327.0	
10.959369897431635	2357.0	4.270323076496868	1710.0	-3.8290962250379152	1165.0	0.0	2268.280029296875	8791.0	-0.245	423.0	1.048582995951417	108.0	-143.0	-0.10121457489878542	-1897.0	-27.940051995718	30.32276442327195	-1927.0	28.260876869336297	1688.0	
10.959331094302298	2426.0	4.266442763563184	1711.0	-4.660499520532701	1165.0	0.0	2287.811279296875	9431.0	-0.2925	404.0	1.040485829959514	104.0	-139.0	-0.10931174089068826	-1532.0	-8.992200642300046	34.65042035421963	-2254.0	22.70341689343018	449.0	
11.112288768811743	2472.0	4.086019738316999	1726.0	-5.216795271762409	1152.0	0.0	2307.342529296875	10071.0	-0.2925	404.0	1.040485829959514	104.0	-139.0	-0.10931174089068826	-1293.0	22.49579446398532	40.656630220774346	-2724.0	19.096147397803875	-1610.0	
9.85985324934867	2468.0	3.8424677920097956	1748.0	-5.185997894798847	1257.0	0.0	2326.873779296875	10711.0	-0.2925	404.0	1.040485829959514	104.0	-139.0	-0.10931174089068826	-1001.0	58.54106132436153	49.41103426219627	-3384.0	14.703102210045627	-3967.0	
6.76085217647714	2471.0	3.466170028666412	1784.0	-5.260658439107683	1517.0	0.0	2346.405029296875	11351.0	-0.2925	404.0	1.040485829959514	104.0	-139.0	-0.10931174089068826	-657.0	68.54259061018504	57.892320845756636	-3958.0	9.509412697486262	-4621.0	
5.199814374876462	2472.0	3.314770820979541	1799.0	-5.2913449940485116	1648.0	0.0	2365.936279296875	11991.0	-0.245	423.0	1.0546558704453441	111.0	-113.0	-0.16194331983805668	-698.0	42.56002446857318	61.57071122226698	-4130.0	10.175320431234486	-2922.0	
4.707849826960165	2518.0	2.927839838873535	1832.0	-5.858220126639675	1689.0	0.0	2385.467529296875	12631.0	-0.245	423.0	1.0546558704453441	111.0	-113.0	-0.16194331983805668	-867.0	14.834072488148037	56.4552823664182	-3727.0	12.717383880899106	-1109.0	
4.465450072794602	2548.0	2.497388231841092	1868.0	-6.230698939454509	1709.0	0.0	2404.998779296875	13271.0	-0.245	423.0	1.0546558704453441	111.0	-113.0	-0.16194331983805668	-1073.0	-5.612478972319927	47.05942561244761	-3065.0	15.78438894693313	228.0	
4.856753411614531	2538.0	2.342007828119813	1880.0	-6.109411586429892	1676.0	0.0	2424.530029296875	13911.0	-0.24	425.0	1.0546558704453441	111.0	-69.0	-0.25101214574898784	-1329.0	-18.030279859305708	37.442444448343196	-2410.0	19.616406951772063	1040.0	
4.29744344991526	2521.0	2.363392610573613	1879.0	-5.909757713289375	1723.0	0.0	2444.061279296875	14551.0	-0.24	425.0	1.0546558704453441	111.0	-69.0	-0.25101214574898784	-1375.0	-26.930723352194526	30.131774847912155	-1912.0	20.249146504041498	1622.0	
3.9401092756573934	2505.0	2.344260899072684	1881.0	-5.720942604924622	1753.0	0.0	2463.592529296875	15191.0	-0.24	425.0	1.0546558704453441	111.0	-69.0	-0.25101214574898784	-1419.0	-48.75363205383086	24.368766654644183	-1481.0	20.866673703066315	3049.0	
4.28137110939843	2500.0	1.9466347493668514	1913.0	-5.665241545725908	1724.0	0.0	2483.123779296875	15831.0	-0.2925	404.0	1.0506072874493928	109.0	-66.0	-0.25708502024291496	-1506.0	-72.71754090839579	18.577127460426947	-1043.0	22.14372738938101	4616.0	
4.288757071266527	2495.0	1.4947547457003598	1950.0	-5.613964322325135	1723.0	0.0	2502.655029296875	16471.0	-0.2925	404.0	1.0506072874493928	109.0	-66.0	-0.25708502024291496	-1535.0	-90.3654993118214	10.696089122425793	-485.0	22.509907032086616	5770.0	
5.504361864279772	2477.0	1.6266626184533015	1937.0	-5.382302647060425	1621.0	0.0	2522.186279296875	17111.0	-0.2925	404.0	1.0506072874493928	109.0	-66.0	-0.25708502024291496	-1626.0	-103.2420859458633	2.245565309093901	97.0	23.821749806842668	6612.0	
6.038127936170917	2467.0	1.431841236139351	1952.0	-5.26037948627695	1576.0	0.0	2541.717529296875	17751.0	-0.2925	404.0	1.0506072874493928	109.0	-66.0	-0.25708502024291496	-1564.0	-96.05444257531734	-4.461536169552982	515.0	22.803320805252454	6142.0	
6.6449278842332715	2486.0	1.397550328088975	1954.0	-5.483912967607936	1525.0	0.0	2561.248779296875	18391.0	-0.395	363.0	1.0161943319838056	92.0	-63.0	-0.2631578947368421	-1527.0	-81.90854870775348	-8.097780617814596	715.0	22.199212465419215	5217.0	
6.811931588683431	2490.0	1.4312541064383588	1951.0	-5.529761626080784	1511.0	0.0	2580.780029296875	19031.0	-0.395	363.0	1.0161943319838056	92.0	-63.0	-0.2631578947368421	-1500.0	-67.54855482489678	-9.483158015695091	768.0	21.771057632671038	4278.0	
6.990456299757939	2481.0	1.426582356746302	1951.0	-5.419636079024121	1496.0	0.0	2600.311279296875	19671.0	-0.395	363.0	1.0161943319838056	92.0	-63.0	-0.2631578947368421	-1433.0	-59.61156140082582	-10.65164603735289	824.0	20.731292347360096	3759.0	
7.488680520073627	2507.0	1.2490043883150517	1965.0	-5.731458408237781	1454.0	0.0	2619.842529296875	20311.0	-0.4675	334.0	0.9939271255060729	81.0	-55.0	-0.2793522267206478	-1393.0	-53.14268236733446	-11.950126481350406	892.0	20.10452819659512	3336.0	
7.905256244292552	2501.0	1.239910143540941	1965.0	-5.6551853792645685	1419.0	0.0	2639.373779296875	20951.0	-0.4675	334.0	0.9939271255060729	81.0	-55.0	-0.2793522267206478	-1380.0	-46.627924759137485	-13.469914432560138	974.0	19.8898520295274	2910.0	
8.50051230334013	2514.0	1.2417065244893555	1964.0	-5.805823397079221	1369.0	0.0	2658.905029296875	21591.0	-0.4675	334.0	0.9939271255060729	81.0	-55.0	-0.2793522267206478	-1242.0	-39.13442422388745	-15.148095896891107	1065.0	17.755531470062856	2420.0	
8.307324824623501	2559.0	0.9705777004453078	1987.0	-6.355346523046064	1385.0	0.0	2678.436279296875	22231.0	-0.4675	334.0	0.9939271255060729	81.0	-55.0	-0.2793522267206478	-1034.0	-30.448080746291485	-16.0326878595269	1102.0	14.555032949546515	1852.0	
8.678469654503102	2540.0	1.1802987836435332	1969.0	-6.1185249904327	1354.0	0.0	2697.967529296875	22871.0	-0.505	319.0	0.9817813765182186	75.0	-52.0	-0.28542510121457493	-1147.0	-34.791252485089466	-13.830681355482401	969.0	16.310979667955074	2136.0	
8.72520173144669	2520.0	1.091601716097723	1976.0	-5.878867755592494	1350.0	0.0	2717.498779296875	23511.0	-0.505	319.0	0.9817813765182186	75.0	-52.0	-0.28542510121457493	-1090.0	-38.140388438599174	-11.365496498539745	818.0	15.460995948011382	2355.0	
8.724948292082635	2512.0	1.0662577796920958	1978.0	-5.782991626545573	1350.0	0.0	2737.030029296875	24151.0	-0.505	319.0	0.9817813765182186	75.0	-52.0	-0.28542510121457493	-1062.0	-38.20155987153999	-7.190581229547472	547.0	15.073099558273807	2359.0	
8.209844179674246	2503.0	0.7463227293292525	2005.0	-5.686107633737154	1393.0	0.0	2756.561279296875	24791.0	-0.5375	306.0	0.951417004048583	60.0	-55.0	-0.2793522267206478	-1003.0	-33.67487383391956	-3.7481111847735384	312.0	14.202199722892178	2063.0	
7.819345983757512	2473.0	0.9822174233702161	1986.0	-5.323848938682972	1426.0	0.0	2776.092529296875	25431.0	-0.5375	306.0	0.951417004048583	60.0	-55.0	-0.2793522267206478	-1040.0	-29.7751949839425	-3.017678405686393	254.0	14.77724994603367	1808.0	
7.592707322600487	2468.0	0.9373989267153708	1990.0	-5.266770731372218	1445.0	0.0	2795.623779296875	26071.0	-0.5375	306.0	0.951417004048583	60.0	-55.0	-0.2793522267206478	-1048.0	-28.934087781006273	-2.1912269600929815	198.0	14.908270329754604	1753.0	
7.211215949018775	2463.0	0.8834996637822983	1995.0	-5.211422666511274	1477.0	0.0	2815.155029296875	26711.0	-0.5675	294.0	0.9352226720647774	52.0	-49.0	-0.291497975708502	-986.0	-24.36152316868023	-2.6568321330116462	217.0	13.952256291221673	1454.0	
7.484703772110712	2444.0	0.851329592023557	1997.0	-4.9804155270649275	1454.0	0.0	2834.686279296875	27351.0	-0.5675	294.0	0.9352226720647774	52.0	-49.0	-0.291497975708502	-859.0	-24.942651781617986	-3.5984692591620675	281.0	11.994090495378305	1492.0	
7.12592965220317	2447.0	0.6882033155550517	2011.0	-5.023410372106626	1484.0	0.0	2854.217529296875	27991.0	-0.5675	294.0	0.9352226720647774	52.0	-49.0	-0.291497975708502	-602.0	-19.62073711576694	-5.971334826762503	424.0	8.0268295395642	1144.0	
6.400749237173962	2456.0	0.7892094316818477	2004.0	-5.137075788874141	1545.0	0.0	2873.748779296875	28631.0	-0.5675	294.0	0.9352226720647774	52.0	-49.0	-0.291497975708502	-452.0	-21.226487230463377	-8.821812585905853	615.0	5.696652213254031	1249.0	
