Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	no units	ms	no units	local_flux	no units	no units	local_flux	no units	local_flux	deg/s	no units	no units	deg/s	deg/s	no units	
1887.0	-8.07572357389225	5.5228807060131615	1634.0	1.6682545952488106	2765.0	0.0	1535.09521484375	50302.0	-0.165	455.0	-903.0	-0.9979757085020243	-354.0	0.3259109311740891	-1.8351429882244994	26.0	56.0	-0.9262321551567373	-1.559055171022183	-19.0	
1878.0	-8.051929672905754	5.521318423710396	1634.0	1.776895023552379	2763.0	0.0	1554.62646484375	50942.0	-0.165	455.0	-903.0	-0.9979757085020243	-354.0	0.3259109311740891	-1.2998929499923537	-14.0	93.0	-1.5228634957523308	-0.9512421381031426	-54.0	
1878.0	-7.9920521158618785	5.556693175717071	1631.0	1.7782012941629515	2758.0	0.0	1574.15771484375	51582.0	-0.1675	454.0	-900.0	-0.9919028340080972	-352.0	0.32186234817813764	-1.988071570576541	29.0	100.0	-1.5964066108379698	-1.61179036655337	-9.0	
1876.0	-7.945054556190849	5.494544380915125	1636.0	1.8015246794057915	2754.0	0.0	1593.68896484375	52222.0	-0.1675	454.0	-900.0	-0.9919028340080972	-352.0	0.32186234817813764	-2.2327573023398077	34.0	32.0	-0.5399646774123624	-1.6779483655097382	7.0	
1877.0	-7.838907240486981	5.394990237016212	1644.0	1.7885468769137676	2745.0	0.0	1613.22021484375	52862.0	-0.1675	454.0	-900.0	-0.9919028340080972	-352.0	0.32186234817813764	-0.3976143141153082	26.0	-28.0	0.3082521557699067	-1.5467103279129162	-113.0	
1876.0	-7.875103164190331	5.346826438109841	1648.0	1.799269834469691	2748.0	0.0	1632.75146484375	53502.0	-0.1625	456.0	-896.0	-0.9838056680161943	-357.0	0.3319838056680162	1.1010857929346995	11.0	1.0	-0.20003191031302578	-1.3216259137018722	-211.0	
1884.0	-7.922337302516679	5.385317367379692	1645.0	1.70318176950315	2752.0	0.0	1652.28271484375	54142.0	-0.1625	456.0	-896.0	-0.9838056680161943	-357.0	0.3319838056680162	1.330478666462762	-19.0	-15.0	0.03228178043593064	-0.8589682670506354	-226.0	
1884.0	-8.042092416604431	5.314567863366342	1651.0	1.7005692282820055	2762.0	0.0	1671.81396484375	54782.0	-0.1625	456.0	-896.0	-0.9838056680161943	-357.0	0.3319838056680162	0.16822144058724578	-77.0	-5.0	-0.08393859786080102	0.0298495813376418	-150.0	
1878.0	-8.053880110292557	5.326274685030095	1650.0	1.772974644404905	2763.0	0.0	1691.34521484375	55422.0	-0.1625	456.0	-896.0	-0.9838056680161943	-357.0	0.3319838056680162	-1.131671509405108	-135.0	-9.0	0.0206758537111713	0.9208757780246061	-65.0	
1880.0	-8.040756308246358	5.448178699173755	1640.0	1.7514475771660718	2762.0	0.0	1710.87646484375	56062.0	-0.17	453.0	-895.0	-0.9817813765182186	-359.0	0.3360323886639676	-2.584493041749503	-147.0	-6.0	0.030799617935188872	1.105110819564345	30.0	
1882.0	-7.968730167849684	5.5079355959839384	1635.0	1.7292665909640734	2756.0	0.0	1730.40771484375	56702.0	-0.17	453.0	-895.0	-0.9817813765182186	-359.0	0.3360323886639676	-0.7799357699954123	-151.0	4.0	-0.1957962815392219	1.1642227952021007	-88.0	
1883.0	-7.992899410536913	5.471963708213558	1638.0	1.716257268010709	2758.0	0.0	1749.93896484375	57342.0	-0.17	453.0	-895.0	-0.9817813765182186	-359.0	0.3360323886639676	0.8411072029362289	-157.0	4.0	-0.2615520938947395	1.2556321390272949	-194.0	
1879.0	-8.075855110919631	5.509727003275054	1635.0	1.7643757479924493	2765.0	0.0	1769.47021484375	57982.0	-0.17250000000000001	452.0	-896.0	-0.9838056680161943	-340.0	0.2975708502024291	2.4315644593974617	-170.0	18.0	-0.542488557769375	1.4523010619441723	-298.0	
1879.0	-8.16961124293369	5.657923325678689	1623.0	1.7664021131203813	2773.0	0.0	1789.00146484375	58622.0	-0.17250000000000001	452.0	-896.0	-0.9838056680161943	-340.0	0.2975708502024291	1.6822144058724577	-173.0	24.0	-0.6052621060920079	1.4977067774353208	-249.0	
1881.0	-8.205681651291348	5.62231106134131	1626.0	1.7412327782078887	2776.0	0.0	1808.53271484375	59262.0	-0.17250000000000001	452.0	-896.0	-0.9838056680161943	-340.0	0.2975708502024291	-1.238721517051537	-161.0	33.0	-0.6250215951502499	1.3133753786472395	-58.0	
1876.0	-8.122249180588975	5.632224798245476	1625.0	1.8025063415084173	2769.0	0.0	1828.06396484375	59902.0	-0.17250000000000001	452.0	-896.0	-0.9838056680161943	-340.0	0.2975708502024291	-2.9821073558648115	-144.0	53.0	-0.8602990493261592	1.0501663819173568	56.0	
1876.0	-7.955616000494192	5.628876141057009	1625.0	1.8041057001655958	2755.0	0.0	1847.59521484375	60542.0	-0.1625	456.0	-897.0	-0.9858299595141701	-337.0	0.291497975708502	-0.6575929041137789	-108.0	39.0	-0.7324169171054803	0.49904379154706713	-96.0	
1874.0	-8.01488645452737	5.654211690120279	1623.0	1.8281160921486979	2760.0	0.0	1867.12646484375	61182.0	-0.1625	456.0	-897.0	-0.9858299595141701	-337.0	0.291497975708502	2.4315644593974617	-74.0	37.0	-0.81999283184112	-0.023544411976536107	-298.0	
1878.0	-8.134636751269769	5.583943920642224	1629.0	1.7773204627073755	2770.0	0.0	1886.65771484375	61822.0	-0.1625	456.0	-897.0	-0.9858299595141701	-337.0	0.291497975708502	2.966814497629607	-19.0	17.0	-0.525347854160466	-0.8645445633965994	-333.0	
1883.0	-8.038680355513865	5.655773972423045	1623.0	1.7194756638451294	2762.0	0.0	1906.18896484375	62462.0	-0.16	457.0	-903.0	-0.9979757085020243	-335.0	0.2874493927125506	1.6363358311668452	-7.0	35.0	-0.7471456696076011	-1.0508963454485696	-246.0	
1879.0	-8.13439174226008	5.608444821611085	1627.0	1.7657647380457653	2770.0	0.0	1925.72021484375	63102.0	-0.16	457.0	-903.0	-0.9979757085020243	-335.0	0.2874493927125506	0.948157210582658	3.0	69.0	-1.241031149953143	-1.2092800368332741	-201.0	
1875.0	-7.992055728870892	5.5563318748156005	1631.0	1.814338610328085	2758.0	0.0	1945.25146484375	63742.0	-0.16	457.0	-903.0	-0.9979757085020243	-335.0	0.2874493927125506	0.18351429882244993	3.0	75.0	-1.3027327566307885	-1.2098970529000506	-151.0	
1877.0	-7.956955721861281	5.494904004348125	1636.0	1.789364667446663	2755.0	0.0	1964.78271484375	64382.0	-0.1625	456.0	-902.0	-0.9959514170040485	-347.0	0.3117408906882591	0.5811286129377581	-11.0	61.0	-1.1054538004161427	-0.9931014921241554	-177.0	
1879.0	-7.8027101124472935	5.443274469556406	1640.0	1.7657781473027996	2742.0	0.0	1984.31396484375	65022.0	-0.1625	456.0	-902.0	-0.9959514170040485	-347.0	0.3117408906882591	0.7340571952897997	-6.0	62.0	-1.1261838954026064	-1.0700312113646444	-187.0	
1880.0	-7.956830206515591	5.507455538917115	1635.0	1.7534723749782466	2755.0	0.0	2003.84521484375	126.0	-0.1625	456.0	-902.0	-0.9959514170040485	-347.0	0.3117408906882591	2.079828719987766	-23.0	28.0	-0.6596735075684331	-0.8045098852981794	-275.0	
1880.0	-8.017317275242844	5.411129618572845	1643.0	1.7509409858840885	2760.0	0.0	2023.37646484375	766.0	-0.1625	456.0	-902.0	-0.9959514170040485	-347.0	0.3117408906882591	2.2174644441046034	-37.0	-22.0	0.10170914172917389	-0.5820732875914548	-284.0	
1878.0	-8.05229537991578	5.484747722707839	1637.0	1.7761599524622276	2763.0	0.0	2042.90771484375	1406.0	-0.17	453.0	-901.0	-0.9939271255060729	-350.0	0.31781376518218624	1.5904572564612327	-56.0	-41.0	0.4161052665383362	-0.2873841368389899	-243.0	
1882.0	-8.01719296423349	5.4235607195080116	1642.0	1.7270944654707165	2760.0	0.0	2062.43896484375	2046.0	-0.17	453.0	-901.0	-0.9939271255060729	-350.0	0.31781376518218624	1.437528674109191	-37.0	-4.0	-0.14394934154884703	-0.5845298724242349	-233.0	
1882.0	-8.00504678955337	5.447701997043874	1640.0	1.7276987527682353	2759.0	0.0	2081.97021484375	2686.0	-0.17	453.0	-901.0	-0.9939271255060729	-350.0	0.31781376518218624	4.022021715858695	-46.0	0.0	-0.3102224349778633	-0.4480922504354009	-402.0	
1876.0	-8.112297247969007	5.436941869765998	1641.0	1.7987002022650276	2768.0	0.0	2101.50146484375	3326.0	-0.165	455.0	-898.0	-0.9878542510121457	-348.0	0.31376518218623484	3.4561859611561405	-62.0	0.0	-0.2900461398045785	-0.20237874895366956	-365.0	
1880.0	-8.15978000831406	5.450570597165517	1640.0	1.75030517812523	2772.0	0.0	2121.03271484375	3966.0	-0.165	455.0	-898.0	-0.9878542510121457	-348.0	0.31376518218623484	0.3211500229392874	-47.0	11.0	-0.3315436177120514	-0.43296097860461785	-160.0	
1878.0	-8.016588269895468	5.484030153310311	1637.0	1.77650267217448	2760.0	0.0	2140.56396484375	4606.0	-0.165	455.0	-898.0	-0.9878542510121457	-348.0	0.31376518218623484	-1.513992965285212	-58.0	-7.0	0.01701983219570928	-0.26068602386616635	-40.0	
1879.0	-8.028123728555874	5.520960477745867	1634.0	1.765077731305503	2761.0	0.0	2160.09521484375	5246.0	-0.165	455.0	-898.0	-0.9878542510121457	-348.0	0.31376518218623484	2.2174644441046034	-54.0	0.0	-0.23927479756409104	-0.32462690479626394	-284.0	
1878.0	-8.278318507707738	5.5014825625597075	1636.0	1.7742344179813456	2782.0	0.0	2179.62646484375	5886.0	-0.1775	450.0	-895.0	-0.9817813765182186	-359.0	0.3360323886639676	2.5233216088086867	-61.0	11.0	-0.42176968625211086	-0.21904046807626978	-304.0	
1882.0	-8.206777567985087	5.5127193919674635	1635.0	1.7269817928823898	2776.0	0.0	2199.15771484375	6526.0	-0.1775	450.0	-895.0	-0.9817813765182186	-359.0	0.3360323886639676	0.8869857776418414	-13.0	16.0	-0.4258617360684902	-0.9556166041644291	-197.0	
1879.0	-8.052050370906091	5.509248623676701	1635.0	1.7646042278006175	2763.0	0.0	2218.68896484375	7166.0	-0.1775	450.0	-895.0	-0.9817813765182186	-359.0	0.3360323886639676	0.8716929194066372	-1.0	46.0	-0.8848302533919834	-1.144340093235163	-196.0	
1878.0	-8.123343892946375	5.522753562505454	1634.0	1.776209584127874	2769.0	0.0	2238.22021484375	7806.0	-0.17	453.0	-893.0	-0.9777327935222672	-356.0	0.3299595141700405	1.881021562930112	-10.0	101.0	-1.7725193224185334	-1.0151166310023043	-262.0	
1880.0	-8.10026815828021	5.449374648169636	1640.0	1.7508763776456508	2767.0	0.0	2257.75146484375	8446.0	-0.17	453.0	-893.0	-0.9777327935222672	-356.0	0.3299595141700405	0.16822144058724578	-16.0	99.0	-1.6741733233746368	-0.9220662690631157	-150.0	
1877.0	-8.028248039565227	5.508529376810701	1635.0	1.788924251718875	2761.0	0.0	2277.28271484375	9086.0	-0.17	453.0	-893.0	-0.9777327935222672	-356.0	0.3299595141700405	-0.948157210582658	-39.0	23.0	-0.4641174989078475	-0.5570425866815751	-77.0	
1877.0	-8.053027998272169	5.411485887068903	1643.0	1.7867355823369695	2763.0	0.0	2296.81396484375	9726.0	-0.17250000000000001	452.0	-894.0	-0.979757085020243	-345.0	0.3076923076923077	1.1163786511699039	-23.0	35.0	-0.7288043339265916	-0.805201193561761	-212.0	
1876.0	-8.124321520312453	5.424990825897655	1642.0	1.798340938664226	2769.0	0.0	2316.34521484375	10366.0	-0.17250000000000001	452.0	-894.0	-0.979757085020243	-345.0	0.3076923076923077	2.64566447469032	-27.0	101.0	-1.8057102820148634	-0.7545923184101441	-312.0	
1879.0	-8.065415568952963	5.363205009465651	1647.0	1.7615497035359278	2764.0	0.0	2335.87646484375	11006.0	-0.17250000000000001	452.0	-894.0	-0.979757085020243	-345.0	0.3076923076923077	3.058571647040832	-5.0	83.0	-1.5419966739387387	-1.0895338228081308	-339.0	
1872.0	-7.9702050392531705	5.360448455635476	1647.0	1.8467840271539127	2756.0	0.0	2355.40771484375	11646.0	-0.17250000000000001	452.0	-894.0	-0.979757085020243	-345.0	0.3076923076923077	3.884385991741857	-24.0	26.0	-0.7012405887974813	-0.789581072452345	-393.0	
1872.0	-8.114983916721213	5.168274994545289	1663.0	1.8414927691574285	2768.0	0.0	2374.93896484375	12286.0	-0.17500000000000002	451.0	-898.0	-0.9878542510121457	-332.0	0.2813765182186235	3.700871692919407	-28.0	-24.0	0.07452107188237156	-0.720445521213047	-381.0	
1879.0	-7.959757066932133	5.2147694972628384	1659.0	1.75963757831208	2755.0	0.0	2394.47021484375	12926.0	-0.17500000000000002	451.0	-898.0	-0.9878542510121457	-332.0	0.2813765182186235	1.8657287046949076	-28.0	-30.0	0.24020371645561592	-0.7187886947673144	-261.0	
1881.0	-8.055217422986969	5.192543415588859	1661.0	1.7341420675758834	2763.0	0.0	2414.00146484375	13566.0	-0.17500000000000002	451.0	-898.0	-0.9878542510121457	-332.0	0.2813765182186235	4.037314574093899	-51.0	-16.0	-0.06550986259082517	-0.368922706420906	-403.0	
