Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
no units	m/(s^2)	no units	m/(s^2)	m/(s^2)	no units	no units	ms	no units	local_flux	no units	local_flux	no units	no units	local_flux	deg/s	no units	deg/s	no units	deg/s	no units	
2321.0	8.717126534606292	1845.0	2.665034413010131	-3.4498894921768666	1352.0	0.0	594.66552734375	19486.0	-0.0675	494.0	1.0607287449392713	114.0	-221.0	0.05668016194331984	-0.061171432940816645	3.0	-1.3390884384464372	78.0	-1.2102606097182071	-135.0	
2324.0	8.777007704659182	1842.0	2.7007704659182767	-3.484720537731428	1347.0	0.0	614.19677734375	20126.0	-0.0675	494.0	1.0607287449392713	114.0	-221.0	0.05668016194331984	-0.1988071570576541	48.0	-1.1574914138054153	67.0	-1.8989464040874173	-126.0	
2319.0	8.824854967677922	1840.0	2.723592005887491	-3.4235446704464345	1343.0	0.0	633.72802734375	20766.0	-0.065	495.0	1.05668016194332	112.0	-238.0	0.09109311740890688	-0.9940357852882705	78.0	-1.1826054077185095	71.0	-2.359532053770296	-74.0	
2324.0	8.87234856705002	1841.0	2.7110471811923857	-3.4835615948020373	1339.0	0.0	653.25927734375	21406.0	-0.065	495.0	1.05668016194332	112.0	-238.0	0.09109311740890688	-1.1163786511699039	75.0	-0.885938965426265	52.0	-2.310531938372998	-66.0	
2323.0	8.87210355804033	1843.0	2.6865462802235247	-3.4720058701404275	1339.0	0.0	672.79052734375	22046.0	-0.065	495.0	1.05668016194332	112.0	-238.0	0.09109311740890688	-0.5811286129377581	84.0	-0.998250225609023	58.0	-2.44975540389795	-101.0	
2327.0	8.88437645240248	1840.0	2.7233595259621994	-3.5193396473663694	1338.0	0.0	692.32177734375	22686.0	-0.0625	496.0	1.0769230769230769	122.0	-241.0	0.09716599190283401	0.45878574705612485	47.0	-1.1224230861001703	63.0	-1.88325123715224	-169.0	
2326.0	8.860814312725951	1838.0	2.7480979392617657	-3.507032307726059	1340.0	0.0	711.85302734375	23326.0	-0.0625	496.0	1.0769230769230769	122.0	-241.0	0.09716599190283401	1.5751643982260286	13.0	-1.1722903698623526	63.0	-1.3620374656136152	-242.0	
