Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	no units	ms	no units	local_flux	no units	local_flux	no units	local_flux	no units	deg/s	no units	no units	deg/s	deg/s	no units	
1877.0	0.7406835282837316	9.782638542658889	1270.0	1.9620957507143282	2028.0	0.0	1606.8115234375	52652.0	0.63	773.0	0.1680161943319838	-327.0	0.7125506072874495	-545.0	0.5811286129377581	-223.0	-2.0	-0.16899607180265058	2.2692936206844596	-177.0	
1879.0	0.6562722258789405	9.6748416355131	1279.0	1.934999314005196	2035.0	0.0	1626.3427734375	53292.0	0.63	773.0	0.1680161943319838	-327.0	0.7125506072874495	-545.0	-0.48937146352653316	-265.0	-4.0	-0.1018629674213556	2.914433265369518	-107.0	
1876.0	0.6205615028496154	9.675197904009158	1279.0	1.970793910458077	2038.0	0.0	1645.8740234375	53932.0	0.6225	770.0	0.15587044534412955	-333.0	0.659919028340081	-519.0	-1.3151858082275578	-308.0	6.0	-0.22923827292362764	3.5729723096138666	-53.0	
1879.0	0.6070780154750826	9.51732535703206	1292.0	1.9313570463315366	2039.0	0.0	1665.4052734375	54572.0	0.6225	770.0	0.15587044534412955	-333.0	0.659919028340081	-519.0	-3.119743079981649	-332.0	0.0	-0.06846124252573202	3.942847687712843	65.0	
1881.0	0.5706419001073975	9.445142391692123	1298.0	1.9054526403288925	2042.0	0.0	1684.9365234375	55212.0	0.6225	770.0	0.15587044534412955	-333.0	0.659919028340081	-519.0	-4.052607432329102	-384.0	27.0	-0.45440792515504363	4.736901371109045	126.0	
1886.0	0.4040147416943066	9.44909321704971	1298.0	1.8436244213964914	2056.0	0.0	1704.4677734375	55852.0	0.63	773.0	0.1659919028340081	-328.0	0.7125506072874495	-545.0	-7.141764795840343	-355.0	83.0	-1.1877243362606968	4.284578180912367	328.0	
1876.0	0.4787082814617752	9.775590050939423	1271.0	1.9713832211828037	2050.0	0.0	1723.9990234375	56492.0	0.63	773.0	0.1659919028340081	-328.0	0.7125506072874495	-545.0	-12.540143752867412	-573.0	247.0	-3.5276949723957736	7.6062759120222445	681.0	
1861.0	0.8616383963568244	9.97336344520625	1254.0	2.159890881783356	2018.0	0.0	1743.5302734375	57132.0	0.63	773.0	0.1659919028340081	-328.0	0.7125506072874495	-545.0	-14.191772442269462	-663.0	349.0	-5.044277588098703	8.972113615096458	789.0	
1853.0	1.12250568312166	9.869615931213632	1262.0	2.2568101465398267	1996.0	0.0	1763.0615234375	57772.0	0.63	773.0	0.1659919028340081	-328.0	0.7125506072874495	-545.0	-9.175714941122497	-607.0	381.0	-5.728490520315993	8.105980400919291	461.0	
1847.0	1.2077654845378247	10.062262739496756	1246.0	2.333804837346157	1989.0	0.0	1782.5927734375	58412.0	0.61	765.0	0.18218623481781376	-320.0	0.728744939271255	-553.0	-1.2540143752867412	-553.0	392.0	-6.206229485610162	7.272600893727604	-57.0	
1839.0	1.09043878249287	10.234354439763193	1232.0	2.4324589464997106	1999.0	0.0	1802.1240234375	59052.0	0.61	765.0	0.18218623481781376	-320.0	0.728744939271255	-553.0	1.039914359993883	-411.0	354.0	-5.691723461207386	5.098829274517895	-207.0	
1839.0	1.0774392914560231	10.124881526554702	1241.0	2.4301394933251723	2000.0	0.0	1821.6552734375	59692.0	0.61	765.0	0.18218623481781376	-320.0	0.728744939271255	-553.0	-2.7068359076311364	-304.0	264.0	-4.14118750695279	3.4724748826410754	38.0	
