Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no units	m/(s^2)	no units	no units	m/(s^2)	no units	no units	ms	no units	local_flux	local_flux	no units	no units	local_flux	deg/s	no units	deg/s	no units	no units	deg/s	
-0.1209751529576189	1938.0	-7.335610533857129	2676.0	2086.0	0.8761744233354499	0.0	53468.0	1631.7138671875	208.0	-0.7825	-0.5991902834008097	-706.0	90.0	-0.5728744939271255	39.05795993271143	-3767.0	-67.91192402179804	4267.0	-2693.0	55.97271442557917	
-0.030264170687763263	1940.0	-7.788321830681088	2713.0	2078.0	0.8439309216795006	0.0	54108.0	1651.2451171875	208.0	-0.7825	-0.5991902834008097	-706.0	90.0	-0.5728744939271255	28.398837742774127	-3441.0	-62.913654772272665	3973.0	-1996.0	51.02039544552571	
0.5950782431933472	1942.0	-8.349318537808129	2758.0	2025.0	0.8148680261336022	0.0	54748.0	1670.7763671875	207.0	-0.785	-0.52834008097166	-671.0	130.0	-0.6538461538461539	23.780394555742472	-2997.0	-58.15426455312866	3680.0	-1694.0	44.25503860350969	
0.41277696835458494	1953.0	-8.72230316454151	2789.0	2040.0	0.6730552003686192	0.0	55388.0	1690.3076171875	207.0	-0.785	-0.52834008097166	-671.0	130.0	-0.6538461538461539	24.499158892797066	-2441.0	-56.19049731248215	3556.0	-1741.0	35.743143361998705	
0.5093597365025997	1972.0	-8.587835873549562	2778.0	2032.0	0.4477947112193359	0.0	56028.0	1709.8388671875	207.0	-0.785	-0.52834008097166	-671.0	130.0	-0.6538461538461539	21.547637253402662	-1929.0	-54.609628377839414	3466.0	-1548.0	27.902576418385177	
0.13054900999140384	1966.0	-8.373670429431044	2761.0	2064.0	0.5205790694631003	0.0	56668.0	1729.3701171875	210.0	-0.7775	-0.4757085020242915	-645.0	162.0	-0.7186234817813765	18.90197277871234	-1654.0	-53.4464923559982	3400.0	-1375.0	23.694474772619245	
0.6495063251769873	1972.0	-8.858891291825092	2800.0	2020.0	0.44377506874056916	0.0	57308.0	1748.9013671875	210.0	-0.7775	-0.4757085020242915	-645.0	162.0	-0.7186234817813765	17.372686955191927	-1610.0	-53.886139598721506	3433.0	-1275.0	23.014921019234514	
0.632009695382879	1983.0	-9.41807808075972	2846.0	2021.0	0.2998862461820079	0.0	57948.0	1768.4326171875	210.0	-0.7775	-0.4757085020242915	-645.0	162.0	-0.7186234817813765	22.08288729163481	-1487.0	-55.086164570063325	3500.0	-1583.0	21.115549279571734	
1.0236218730384241	2027.0	-9.542574600919485	2856.0	1988.0	-0.22880804437234276	0.0	58588.0	1787.9638671875	210.0	-0.7775	-0.4757085020242915	-645.0	162.0	-0.7186234817813765	21.792322985165928	-1445.0	-56.72921588909325	3608.0	-1564.0	20.454650452740186	
0.788263550327905	2033.0	-9.268883062447603	2834.0	2008.0	-0.29797695345651637	0.0	59228.0	1807.4951171875	211.0	-0.775	-0.4230769230769231	-619.0	183.0	-0.7611336032388664	20.339501452821533	-1431.0	-56.69972224722109	3610.0	-1469.0	20.24012261794516	
0.8961355637902992	2049.0	-9.195967430493898	2828.0	1999.0	-0.48821100502016773	0.0	59868.0	1827.0263671875	211.0	-0.775	-0.4230769230769231	-619.0	183.0	-0.7611336032388664	16.08808686343478	-1452.0	-58.14787932240893	3715.0	-1191.0	20.547875204013906	
1.0417761879694378	2056.0	-8.917619298294312	2805.0	1987.0	-0.5655249855319749	0.0	60508.0	1846.5576171875	211.0	-0.775	-0.4230769230769231	-619.0	183.0	-0.7611336032388664	15.461079675791407	-1550.0	-58.44545184933121	3735.0	-1150.0	22.048658877240925	
