Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no units	m/(s^2)	no units	m/(s^2)	m/(s^2)	no units	no units	ms	no units	local_flux	no units	local_flux	no units	no units	local_flux	no units	deg/s	no units	deg/s	deg/s	no units	
2100.0	9.790101957620935	1926.0	1.6292433811410332	-0.797224956174464	1261.0	0.0	795.71533203125	26074.0	-0.4325	348.0	0.9048582995951417	37.0	99.0	-0.5910931174089069	15.0	3.9608502829178778	82.0	-1.5596349099338092	-1.3965998783305797	-398.0	
2105.0	9.588011493860883	1924.0	1.6582922432311855	-0.858905847425683	1278.0	0.0	815.24658203125	26714.0	-0.4325	348.0	0.9048582995951417	37.0	99.0	-0.5910931174089069	71.0	5.276036091145436	89.0	-1.7113100060982538	-2.2574077141472184	-484.0	
2106.0	9.492671835806386	1925.0	1.6481359615909001	-0.8721105624101181	1286.0	0.0	834.77783203125	27354.0	-0.4275	350.0	0.9089068825910931	39.0	93.0	-0.5789473684210527	8.0	4.312586022327573	132.0	-2.343812479848622	-1.2970302684228534	-421.0	
2102.0	9.4448137337606	1927.0	1.6242305189172728	-0.8248744811997111	1290.0	0.0	854.30908203125	27994.0	-0.4275	350.0	0.9089068825910931	39.0	93.0	-0.5789473684210527	-58.0	1.6210429729316411	159.0	-2.6615670615182276	-0.2874718928033057	-245.0	
2096.0	9.551318326120128	1932.0	1.5604040405841504	-0.7527968082162723	1281.0	0.0	873.84033203125	28634.0	-0.4275	350.0	0.9089068825910931	39.0	93.0	-0.5789473684210527	-75.0	0.13763572411683744	150.0	-2.466418608669719	-0.024664186086697196	-148.0	
2095.0	9.63512132117788	1928.0	1.6073702130261682	-0.7389712620457701	1274.0	0.0	893.37158203125	29274.0	-0.4225	352.0	0.9230769230769231	46.0	74.0	-0.5404858299595142	-37.0	0.9022786358770455	79.0	-1.399140478343199	-0.5970817837921785	-198.0	
2098.0	9.54027168114276	1925.0	1.6462157333236058	-0.7752874263534255	1282.0	0.0	912.90283203125	29914.0	-0.4225	352.0	0.9230769230769231	46.0	74.0	-0.5404858299595142	50.0	2.477443034103074	29.0	-0.6797568476133968	-1.924858025741747	-301.0	
2100.0	9.480884142118262	1924.0	1.6598427832546534	-0.7997051462872183	1287.0	0.0	932.43408203125	30554.0	-0.4225	352.0	0.9230769230769231	46.0	74.0	-0.5404858299595142	26.0	0.9328643523474538	16.0	-0.4217129453091219	-1.5540099789237065	-200.0	
