Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	no units	ms	no units	no units	local_flux	no units	local_flux	local_flux	no units	deg/s	no units	deg/s	no units	deg/s	no units	
1503.0	1.2967622712299443	7.215953160651526	1464.0	6.808018720583872	1958.0	0.0	811.248779296875	26583.0	1038.0	0.29782608695652174	407.0	2.3515151515151516	-1.6007984031936129	41.0	-0.7102187175315229	16.0	2.2213025494342613	-116.0	0.43295770048330007	4.0	
1507.0	1.3460194528066551	7.215922027232047	1464.0	6.760318209981107	1954.0	0.0	830.780029296875	27223.0	1038.0	0.29782608695652174	405.0	2.3474747474747475	-1.6087824351297408	45.0	-0.42512454720474924	50.0	2.087211872092772	-107.0	-0.08700350737966354	-15.0	
1504.0	1.4076943309127095	7.323687847524957	1455.0	6.798157195278351	1949.0	0.0	850.311279296875	27863.0	1040.0	0.30217391304347824	408.0	2.3535353535353534	-1.6027944111776449	42.0	-0.25269498137268537	6.0	1.7785776460080918	-89.0	0.5804737178745634	-26.0	
1507.0	1.4208576434674223	7.385108165870045	1450.0	6.762758453274095	1948.0	0.0	869.842529296875	28503.0	1039.0	0.3	407.0	2.3515151515151516	-1.5968063872255491	39.0	0.5151430502117015	91.0	1.5819445969001509	-76.0	-0.71998032784052	-77.0	
1508.0	1.3595404619171454	7.3378167072796225	1454.0	6.749624174101604	1953.0	0.0	889.373779296875	29143.0	1043.0	0.30869565217391304	402.0	2.3414141414141416	-1.572854291417166	27.0	0.2028174598865656	80.0	0.87735026286761	-28.0	-0.5495566917091319	-57.0	
1509.0	1.359421949325072	7.313674649598502	1456.0	6.737333375627788	1953.0	0.0	908.905029296875	29783.0	1043.0	0.30869565217391304	405.0	2.3474747474747475	-1.5968063872255491	39.0	-0.006313409548163623	53.0	1.0403974570963443	-39.0	-0.1368189951820849	-43.0	
1508.0	1.3600231474036704	7.3865776926406	1450.0	6.750116610810079	1953.0	0.0	928.436279296875	30423.0	1040.0	0.30217391304347824	407.0	2.3515151515151516	-1.5628742514970062	22.0	-1.4114569698862858	19.0	1.2074660607382455	-45.0	0.3943427065809922	49.0	
1506.0	1.372451637830805	7.4346155896486055	1446.0	6.774817660226599	1952.0	0.0	947.967529296875	31063.0	1044.0	0.3108695652173913	410.0	2.3575757575757574	-1.5628742514970062	22.0	-1.1801243865682158	1.0	1.045482208863969	-36.0	0.6657936393029446	34.0	
1510.0	1.3603894790776805	7.399244808979581	1449.0	6.72615055974804	1953.0	0.0	967.498779296875	31703.0	1043.0	0.30869565217391304	404.0	2.3454545454545452	-1.5808383233532937	31.0	-0.6800049730519344	37.0	0.9576125196270169	-31.0	0.11326392805751556	1.0	
1512.0	1.3851387412376674	7.411419488610085	1448.0	6.702423413623777	1951.0	0.0	987.030029296875	32343.0	1041.0	0.30434782608695654	412.0	2.3616161616161615	-1.5768463073852297	29.0	-0.07880271526129436	15.0	0.8873923083184114	-30.0	0.44185266593588296	-38.0	
1509.0	1.3483165264267654	7.42363308501494	1447.0	6.738321905752969	1954.0	0.0	1006.561279296875	32983.0	1043.0	0.30869565217391304	405.0	2.3474747474747475	-1.5588822355289422	20.0	-0.1318985357106393	-20.0	1.1846375804669311	-51.0	0.9747030157753573	-34.0	
1510.0	1.3722189302057752	7.36242785160461	1452.0	6.725900684685572	1952.0	0.0	1026.092529296875	33623.0	1044.0	0.3108695652173913	404.0	2.3454545454545452	-1.5888223552894214	35.0	0.08800754075596871	28.0	0.8836910597467582	-30.0	0.24246593219700308	-49.0	
1508.0	1.3717319271601338	7.337570488925385	1454.0	6.749743626570491	1952.0	0.0	1045.623779296875	34263.0	1042.0	0.3065217391304348	411.0	2.3595959595959597	-1.5588822355289422	20.0	-0.0356184959455024	20.0	0.6775334592753263	-16.0	0.36537519636629917	-41.0	
1508.0	1.408909679747255	7.397783065563894	1449.0	6.750717529862747	1949.0	0.0	1065.155029296875	34903.0	1035.0	0.29130434782608694	399.0	2.3353535353535353	-1.6407185628742518	61.0	-0.8396274036254914	-15.0	1.0870122972876026	-41.0	0.9057346770780801	12.0	
1506.0	1.4456004292887343	7.43313827952318	1446.0	6.775534375039925	1946.0	0.0	1084.686279296875	35543.0	1043.0	0.30869565217391304	407.0	2.3515151515151516	-1.6007984031936129	41.0	-0.5673900641510989	2.0	0.9434742500502454	-32.0	0.6444571706034883	-6.0	
1506.0	1.4204934705729704	7.360489238190189	1452.0	6.774556815039437	1948.0	0.0	1104.217529296875	36183.0	1039.0	0.3	411.0	2.3595959595959597	-1.5888223552894214	35.0	-0.1617481736238336	23.0	0.38828710493625357	4.0	0.3210091167172269	-33.0	
1508.0	1.4453634041045882	7.384854164160938	1450.0	6.750952778092292	1946.0	0.0	1123.748779296875	36823.0	1038.0	0.29782608695652174	411.0	2.3595959595959597	-1.5588822355289422	20.0	-0.5126844614187651	-11.0	0.07718528120974835	25.0	0.8416287457548721	-10.0	
1506.0	1.4330469499308522	7.396813758856684	1449.0	6.77504559503968	1947.0	0.0	1143.280029296875	37463.0	1043.0	0.30869565217391304	407.0	2.3515151515151516	-1.572854291417166	27.0	-0.16815340330006492	-68.0	-0.10141091650397085	33.0	1.7051035872649398	-32.0	
1506.0	1.3834363893574804	7.312466907891923	1456.0	6.773706020924299	1951.0	0.0	1162.811279296875	38103.0	1042.0	0.3065217391304348	406.0	2.3494949494949493	-1.5988023952095811	40.0	0.5237666371507648	-117.0	-0.7191085721834412	69.0	2.443431535149405	-77.0	
1508.0	1.3218800238434996	7.228843145280134	1463.0	6.748157834100873	1956.0	0.0	1182.342529296875	38743.0	1040.0	0.30217391304347824	408.0	2.3535353535353534	-1.5648702594810382	23.0	0.48987130989751015	-98.0	-0.7501680332897758	72.0	2.1547971043915193	-75.0	
1505.0	1.297007931532323	7.216430030650261	1464.0	6.783929560344715	1958.0	0.0	1201.873779296875	39383.0	1041.0	0.30434782608695654	401.0	2.3393939393939394	-1.56686626746507	24.0	0.1770288258509369	-150.0	-0.5951116361593421	61.0	2.948800053946814	-54.0	
