Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
no units	m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	ms	no units	local_flux	local_flux	no units	no units	local_flux	deg/s	no units	deg/s	no units	no units	deg/s	
1851.0	-2.502742443059985	1278.0	9.644365578010285	2275.0	2.6015367132772127	0.0	42338.0	1292.05322265625	988.0	0.1891304347826087	1.6525252525252525	61.0	213.0	-1.944111776447106	-0.20209888758307842	53.0	1.413844216322597	-63.0	-30.0	-0.13486114040173575	
1849.0	-2.4183718748912337	1284.0	9.569023701490421	2268.0	2.6257233857358706	0.0	42978.0	1311.58447265625	987.0	0.18695652173913044	1.6383838383838383	54.0	218.0	-1.9540918163672658	-0.21697079886488646	57.0	1.522260287660738	-70.0	-29.0	-0.1955489231900584	
1853.0	-2.428985977184783	1275.0	9.67993587690433	2269.0	2.5785335953827366	0.0	43618.0	1331.11572265625	985.0	0.1826086956521739	1.6444444444444444	57.0	233.0	-1.9840319361277448	1.120331349631421	54.0	1.6822315267865018	-87.0	-116.0	-0.16329456824916594	
1850.0	-2.4777583144954107	1272.0	9.71677618434391	2273.0	2.6145588533972792	0.0	44258.0	1350.64697265625	985.0	0.1826086956521739	1.6505050505050505	60.0	218.0	-1.9540918163672658	1.3886347241280341	-1.0	1.585120024631532	-84.0	-133.0	0.6705242991465524	
1848.0	-2.4905574541556716	1275.0	9.67997479367868	2274.0	2.638159233636193	0.0	44898.0	1370.17822265625	986.0	0.1847826086956522	1.6383838383838383	54.0	225.0	-1.9680638722554893	0.6778264779707714	21.0	1.4380812565085657	-70.0	-87.0	0.34303162115185126	
1855.0	-2.441776481726811	1282.0	9.59532724087559	2270.0	2.5534632184348607	0.0	45538.0	1389.70947265625	985.0	0.1826086956521739	1.6303030303030304	50.0	233.0	-1.9840319361277448	-0.5932625508108892	66.0	0.8642703063534894	-24.0	-5.0	-0.3286681349481649	
1854.0	-2.3810626570346907	1283.0	9.581667467764792	2265.0	2.565981951721758	0.0	46178.0	1409.24072265625	987.0	0.18695652173913044	1.6484848484848484	59.0	219.0	-1.9560878243512976	-0.8925187466303379	26.0	1.025681478051452	-35.0	15.0	0.2826894460214365	
