Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	ms	no units	local_flux	no units	no units	local_flux	no units	local_flux	deg/s	no units	deg/s	no units	deg/s	no units	
-1.1266750256960847	2810.0	3.946353931468	1762.0	-8.995899596484447	2167.0	0.0	1827.57568359375	59886.0	-0.8456521739130435	512.0	482.0	2.503030303030303	613.0	-2.7425149700598808	-4.881120078777273	-908.0	3.8835009901186712	-245.0	14.527898653259259	286.0	
-1.0540132372837965	2808.0	3.9200192586633498	1764.0	-8.971339939786201	2161.0	0.0	1847.10693359375	60526.0	-0.8391304347826087	515.0	482.0	2.503030303030303	615.0	-2.7465069860279443	0.9448065779756188	-739.0	4.300470362931642	-293.0	11.899297181368535	-95.0	
-1.1519112909017128	2806.0	3.90932188915827	1765.0	-8.948329508475263	2169.0	0.0	1866.63818359375	61166.0	-0.8456521739130435	512.0	468.0	2.474747474747475	620.0	-2.756487025948104	5.682730616342979	-602.0	4.398884443672733	-316.0	9.768267750870791	-405.0	
-1.311975543230441	2803.0	3.7899049593628096	1775.0	-8.91497974198325	2182.0	0.0	1886.16943359375	61806.0	-0.8369565217391305	516.0	477.0	2.492929292929293	604.0	-2.724550898203593	6.504341977887436	-462.0	4.276946358089577	-306.0	7.630774070715423	-460.0	
-1.3736612152342866	2801.0	3.7418981957742834	1779.0	-8.891980280797007	2187.0	0.0	1905.70068359375	62446.0	-0.8369565217391305	516.0	467.0	2.4727272727272727	632.0	-2.7804391217564874	3.3881500250434944	-384.0	3.8666231208247384	-261.0	6.475624203171618	-258.0	
-1.3362378023447865	2803.0	3.8025876424115292	1774.0	-8.915095537743909	2184.0	0.0	1925.23193359375	63086.0	-0.8304347826086956	519.0	466.0	2.470707070707071	620.0	-2.756487025948104	1.729413323959848	-308.0	3.3686367717474854	-217.0	5.336318034060782	-151.0	
-1.324171326032546	2801.0	3.8140548003988	1773.0	-8.890763815858746	2183.0	0.0	1944.76318359375	63726.0	-0.8326086956521739	518.0	476.0	2.4909090909090907	621.0	-2.7584830339321362	2.666439994390451	-253.0	2.752172145354231	-178.0	4.490445866215791	-213.0	
