Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no units	m/(s^2)	no units	no units	m/(s^2)	no units	no units	ms	local_flux	no units	no units	local_flux	local_flux	no units	deg/s	no units	no units	deg/s	deg/s	no units	
9.854086658263176	2142.0	-0.30561988796810097	2085.0	1254.0	-1.3413064709357665	0.0	53411.0	1629.974365234375	0.0975	560.0	-80.0	0.6680161943319838	-0.8137651821862348	209.0	-0.18351429882244993	-33.0	18.0	-0.4168760260821161	-0.6486370739020673	-127.0	
9.794454110228989	2143.0	-0.31649373900591493	2086.0	1259.0	-1.3541684662079487	0.0	54051.0	1649.505615234375	0.0975	560.0	-80.0	0.6680161943319838	-0.8137651821862348	209.0	-0.7034714788193914	-70.0	5.0	-0.2018074691892035	-0.07874049298251658	-93.0	
9.794332207892314	2143.0	-0.32868397267343374	2087.0	1259.0	-1.3544134899046658	0.0	54691.0	1669.036865234375	0.11	565.0	-80.0	0.6680161943319838	-0.7935222672064778	199.0	-0.36702859764489987	-72.0	9.0	-0.2770935410413083	-0.048804386384787804	-115.0	
9.782432246558221	2145.0	-0.3282039156066101	2087.0	1260.0	-1.378619273918839	0.0	55331.0	1688.568115234375	0.11	565.0	-80.0	0.6680161943319838	-0.7935222672064778	199.0	1.131671509405108	-109.0	49.0	-0.9579408749349037	0.5121330356268978	-213.0	
9.747204315530242	2138.0	-0.2795684469757718	2083.0	1263.0	-1.293661494458912	0.0	55971.0	1708.099365234375	0.11	565.0	-80.0	0.6680161943319838	-0.7935222672064778	199.0	1.6516286894020493	-118.0	64.0	-1.210828610162294	0.647704511197748	-247.0	
9.747697946558635	2143.0	-0.23020534413657806	2079.0	1263.0	-1.3529102599472658	0.0	56611.0	1727.630615234375	0.105	563.0	-76.0	0.6761133603238867	-0.8117408906882592	208.0	1.2998929499923537	-149.0	66.0	-1.2322783233181833	1.1231690074680614	-224.0	
9.723643380190053	2138.0	-0.25470960004238163	2081.0	1265.0	-1.2933999268736458	0.0	57251.0	1747.161865234375	0.105	563.0	-76.0	0.6761133603238867	-0.8117408906882592	208.0	0.3211500229392874	-138.0	50.0	-0.9453534233670707	0.9572489362281984	-160.0	
9.782912629886892	2139.0	-0.2801655827394769	2083.0	1260.0	-1.3053645468017039	0.0	57891.0	1766.693115234375	0.105	563.0	-76.0	0.6761133603238867	-0.8117408906882592	208.0	0.3058571647040832	-75.0	31.0	-0.6428422066437641	-0.0064284220664376415	-159.0	
9.723280081852703	2140.0	-0.2910394337772908	2084.0	1265.0	-1.3182265420738861	0.0	58531.0	1786.224365234375	0.105	563.0	-76.0	0.6761133603238867	-0.8117408906882592	208.0	2.0339501452821533	-54.0	50.0	-1.0009705002802691	-0.33224386182342575	-272.0	
