Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	ms	no units	local_flux	no units	local_flux	no units	local_flux	no units	no units	deg/s	no units	deg/s	deg/s	no units	
9.717646517478912	2183.0	0.33608031931976434	2033.0	-1.8238127718123096	1266.0	0.0	1215.972900390625	39845.0	0.395	679.0	0.728744939271255	-50.0	-0.7388663967611336	172.0	-107.0	-0.9022786358770455	5.0	-0.19953286932039044	0.48902814836679304	-80.0	
9.67040756180721	2187.0	0.37408951405432056	2030.0	-1.8717177485586727	1270.0	0.0	1235.504150390625	40485.0	0.395	679.0	0.728744939271255	-50.0	-0.7388663967611336	172.0	-127.0	-1.6516286894020493	-27.0	0.3195522918860466	0.8011086731413556	-31.0	
9.634702860459575	2189.0	0.3750479507194967	2030.0	-1.8961520123810143	1273.0	0.0	1255.035400390625	41125.0	0.3975	680.0	0.7165991902834008	-56.0	-0.728744939271255	167.0	-170.0	-0.6728857623489831	-24.0	0.22766688871688634	1.460002616409035	-95.0	
9.599846658123315	2187.0	0.4608562885220099	2023.0	-1.8706880221061577	1276.0	0.0	1274.566650390625	41765.0	0.3975	680.0	0.7165991902834008	-56.0	-0.728744939271255	167.0	-200.0	0.7952286282306164	36.0	-0.758497348667214	1.910475483778941	-191.0	
9.600574459134352	2184.0	0.533636389625652	2017.0	-1.8330805637607217	1276.0	0.0	1294.097900390625	42405.0	0.3975	680.0	0.7165991902834008	-56.0	-0.728744939271255	167.0	-215.0	-0.42820003058571654	54.0	-0.9887193325910523	2.1383405188115767	-111.0	
9.648182734825093	2183.0	0.5325591967951233	2017.0	-1.8205778320893404	1272.0	0.0	1313.629150390625	43045.0	0.4	681.0	0.7307692307692307	-49.0	-0.6943319838056681	150.0	-161.0	-2.003364428811745	52.0	-0.8866724424060682	1.3107588701746813	-8.0	
9.754937153539663	2182.0	0.49371535396615684	2020.0	-1.80823897198769	1263.0	0.0	1333.160400390625	43685.0	0.4	681.0	0.7307692307692307	-49.0	-0.6943319838056681	150.0	-97.0	-0.7340571952897997	34.0	-0.6507673727865428	0.33107096675088254	-91.0	
