Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	no units	no units	ms	local_flux	no units	no units	local_flux	local_flux	no units	deg/s	no units	deg/s	no units	deg/s	no units	
-0.6381260517580182	2110.0	1257.0	9.996918633721995	-0.8546356589274775	2144.0	0.0	12941.0	394.927978515625	0.72	809.0	-108.0	0.611336032388664	-0.6437246963562753	125.0	0.7799357699954123	9.0	-1.7101844234112156	100.0	-1.3060384715166045	-190.0	
-0.6380077624303576	2107.0	1256.0	10.008747566488044	-0.818253319065627	2144.0	0.0	13581.0	414.459228515625	0.72	809.0	-108.0	0.611336032388664	-0.6437246963562753	125.0	0.8411072029362289	-6.0	-1.115084756737543	61.0	-1.0699202199779938	-194.0	
-0.5673273650824645	2105.0	1262.0	9.933930158420226	-0.7949464777113358	2138.0	0.0	14221.0	433.990478515625	0.72	809.0	-108.0	0.611336032388664	-0.6234817813765182	115.0	0.9175714941122497	-21.0	-0.8589723811294852	44.0	-0.8371918413500398	-199.0	
-0.5797185487722736	2104.0	1266.0	9.885287979915503	-0.783995040347244	2139.0	0.0	14861.0	453.521728515625	0.72	809.0	-108.0	0.611336032388664	-0.6234817813765182	115.0	0.7952286282306164	-58.0	-0.6444260956892527	30.0	-0.267300483145016	-191.0	
-0.5791102414252358	2103.0	1261.0	9.946118714619274	-0.7707241498086138	2139.0	0.0	15501.0	473.052978515625	0.72	809.0	-108.0	0.611336032388664	-0.6234817813765182	115.0	0.13763572411683744	-39.0	-0.369118476235012	14.0	-0.5560925964548468	-148.0	
-0.5906457000856422	2104.0	1258.0	9.98304903905483	-0.7821490906775911	2140.0	0.0	16141.0	492.584228515625	0.7275	812.0	-114.0	0.5991902834008097	-0.6336032388663968	120.0	0.030585716470408322	40.0	-0.6603301903635623	34.0	-1.7712189225879997	-141.0	
-0.6145675250905047	2108.0	1259.0	9.971818919520958	-0.8308056824026544	2142.0	0.0	16781.0	512.115478515625	0.7275	812.0	-114.0	0.5991902834008097	-0.6336032388663968	120.0	-0.22939287352806242	52.0	-0.49428382451336395	24.0	-1.9536922628269964	-124.0	
-0.5901532733935886	2108.0	1254.0	10.0322917082602	-0.8293520841109006	2140.0	0.0	17421.0	531.646728515625	0.7275	812.0	-114.0	0.5991902834008097	-0.6336032388663968	120.0	0.18351429882244993	27.0	-0.5915377513531666	29.0	-1.571052710642272	-151.0	
-0.6500272174284499	2111.0	1257.0	9.997278257154996	-0.8667956708866063	2145.0	0.0	18061.0	551.177978515625	0.7275	812.0	-114.0	0.5991902834008097	-0.6336032388663968	120.0	0.7034714788193914	-25.0	-0.8817843764341393	46.0	-0.7760420266705867	-185.0	
-0.6497846170914379	2110.0	1255.0	10.02153829085621	-0.8542598514381273	2145.0	0.0	18701.0	570.709228515625	0.72	809.0	-111.0	0.6052631578947368	-0.6437246963562753	125.0	0.22939287352806242	-24.0	-0.601197615020668	29.0	-0.7885806427145768	-154.0	
-0.5907615807406262	2109.0	1259.0	9.971460973556429	-0.8426229746495306	2140.0	0.0	19341.0	590.240478515625	0.72	809.0	-111.0	0.6052631578947368	-0.6437246963562753	125.0	0.7034714788193914	-27.0	-0.958994789489931	51.0	-0.7461251634848948	-185.0	
