Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	no units	m/(s^2)	no units	ms	no units	no units	local_flux	local_flux	no units	no units	local_flux	deg/s	no units	no units	deg/s	deg/s	no units	
2063.0	-1.0996932344230967	10.26877179578557	1235.0	2183.0	-0.28754920727189304	0.0	636.65771484375	20862.0	816.0	0.7375	0.33805668016194335	-243.0	-401.0	0.42105263157894735	0.6423000458785748	-1602.0	1109.0	-17.470991670204292	23.256316629254687	-181.0	
2047.0	-1.241200018182323	10.403807705577215	1224.0	2195.0	-0.09349247257630303	0.0	656.18896484375	21502.0	816.0	0.7375	0.33805668016194335	-243.0	-401.0	0.42105263157894735	-1.0705000764642914	319.0	546.0	-8.448408270442918	-6.130210644005642	-69.0	
2061.0	-0.9972066018284991	9.80314934095962	1273.0	2174.0	-0.27174040450029735	0.0	675.72021484375	22142.0	815.0	0.735	0.33805668016194335	-243.0	-417.0	0.4534412955465587	-0.8105214864658206	244.0	134.0	-2.1334607310081695	-4.9162248942519255	-86.0	
2010.0	-1.1571187312101188	9.288126878988113	1315.0	2187.0	0.3308178562917575	0.0	695.25146484375	22782.0	815.0	0.735	0.33805668016194335	-243.0	-417.0	0.4534412955465587	-13.33537238109803	-976.0	85.0	-1.0660459419763475	13.814719316550777	733.0	
2009.0	-0.9393421076610142	9.637217805327165	1286.0	2169.0	0.35202563382511387	0.0	714.78271484375	23422.0	815.0	0.735	0.33805668016194335	-243.0	-417.0	0.4534412955465587	-22.159351582810828	-1374.0	246.0	-3.250481445767493	19.899979457446577	1310.0	
1986.0	-1.123590708334681	10.2599767855795	1235.0	2185.0	0.6397467611583636	0.0	734.31396484375	24062.0	804.0	0.7075	0.34210526315789475	-241.0	-413.0	0.44534412955465585	-26.120201865728706	-1024.0	269.0	-3.392119302211797	14.527993798538418	1569.0	
2017.0	-0.5277034595496376	10.324892140274335	1229.0	2135.0	0.27350996483649637	0.0	753.84521484375	24702.0	804.0	0.7075	0.34210526315789475	-241.0	-413.0	0.44534412955465585	-29.668144976296073	-460.0	126.0	-0.9642398873742262	5.897983809504347	1801.0	
1991.0	-0.8891502976304444	11.08497023695555	1167.0	2166.0	0.5983500704375053	0.0	773.37646484375	25342.0	804.0	0.7075	0.34210526315789475	-241.0	-413.0	0.44534412955465585	-47.62196054442576	-2679.0	1459.0	-21.0891066337692	39.74614437941956	2975.0	
1973.0	-0.733753810563868	9.957952276946523	1259.0	2152.0	0.7942311459875087	0.0	792.90771484375	25982.0	804.0	0.7075	0.34210526315789475	-241.0	-413.0	0.44534412955465585	-26.946016210429732	-1011.0	238.0	-2.880293412708754	14.333633769877824	1623.0	
1965.0	-0.029085568121631836	10.186681283074913	1239.0	2093.0	0.9022379507031735	0.0	812.43896484375	26622.0	800.0	0.6975	0.3785425101214575	-223.0	-427.0	0.4736842105263158	-35.280623948616	-1054.0	185.0	-1.7383622333785211	15.004865878970499	2168.0	
1979.0	0.1674643295291852	10.794052000537567	1189.0	2077.0	0.747676165233754	0.0	831.97021484375	27262.0	800.0	0.6975	0.3785425101214575	-223.0	-427.0	0.4736842105263158	-27.34363052454504	-512.0	-18.0	1.1496328551885726	6.717035687152469	1649.0	
2017.0	0.43082506249908353	10.939649107051215	1177.0	2055.0	0.29539038939252116	0.0	851.50146484375	27902.0	800.0	0.6975	0.3785425101214575	-223.0	-427.0	0.4736842105263158	-11.729622266401591	115.0	-395.0	6.419863243925086	-2.851253262604481	628.0	
1993.0	-0.18585499651565124	9.985928919863447	1256.0	2106.0	0.5593058115646425	0.0	871.03271484375	28542.0	797.0	0.6900000000000001	0.4008097165991903	-212.0	-438.0	0.4959514170040486	12.662486618749046	7.0	-702.0	10.149584281694104	-1.1567518171493012	-967.0	
1947.0	-0.19903178936073215	9.858725825831547	1266.0	2107.0	1.110846849225433	0.0	890.56396484375	29182.0	797.0	0.6900000000000001	0.4008097165991903	-212.0	-438.0	0.4959514170040486	-15.491665392261815	-468.0	-352.0	5.819509962514928	6.088577177268237	874.0	
1960.0	0.3277357057264309	10.154522953595471	1241.0	2063.0	0.9654039607074869	0.0	910.09521484375	29822.0	797.0	0.6900000000000001	0.4008097165991903	-212.0	-438.0	0.4959514170040486	-10.536779324055667	-126.0	-298.0	4.843248840231203	0.8310011549666823	550.0	
