Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	no units	m/(s^2)	no units	ms	no units	local_flux	no units	local_flux	no units	no units	local_flux	deg/s	no units	deg/s	no units	deg/s	no units	
2019.0	0.10056461041167745	10.056461041167745	1250.0	2082.0	0.2503276380118091	0.0	1209.442138671875	39631.0	0.73	813.0	-0.48785425101214575	-651.0	-248.0	0.11133603238866396	0.0	-66.0	-1.1367917347715262	64.0	-0.14946827027083942	-139.0	
2017.0	0.08878173406890603	10.068649597366795	1249.0	2083.0	0.27454996591453096	0.0	1228.973388671875	40271.0	0.73	813.0	-0.48785425101214575	-651.0	-248.0	0.11133603238866396	0.030585716470408322	-57.0	-1.2135377297255507	69.0	-0.28833608314350384	-141.0	
2017.0	0.08865983173223084	10.056459363699275	1250.0	2083.0	0.2743049422178139	0.0	1248.504638671875	40911.0	0.73	813.0	-0.4959514170040486	-655.0	-240.0	0.0951417004048583	-0.061171432940816645	-69.0	-1.0886632781549381	61.0	-0.1029535347302988	-135.0	
2017.0	0.07687936406213589	10.068888787165971	1249.0	2084.0	0.27443572601044675	0.0	1268.035888671875	41551.0	0.73	813.0	-0.4959514170040486	-655.0	-240.0	0.0951417004048583	0.10705000764642914	-63.0	-1.1559937292529785	65.0	-0.19569374119002866	-146.0	
2016.0	0.0887805297325678	10.06852916373297	1249.0	2083.0	0.28659573796957544	0.0	1287.567138671875	42191.0	0.73	813.0	-0.4959514170040486	-655.0	-240.0	0.0951417004048583	0.16822144058724578	-65.0	-1.0664629360143758	59.0	-0.16410946594139283	-150.0	
2017.0	0.07687936406213589	10.068888787165971	1249.0	2084.0	0.27443572601044675	0.0	1307.098388671875	42831.0	0.725	811.0	-0.49190283400809715	-653.0	-255.0	0.12550607287449392	0.18351429882244993	-63.0	-1.0821484410049094	60.0	-0.19495528830754796	-151.0	
2018.0	0.08866103606856907	10.056579797333098	1250.0	2083.0	0.26225917016276934	0.0	1326.629638671875	43471.0	0.725	811.0	-0.49190283400809715	-653.0	-255.0	0.12550607287449392	0.10705000764642914	-66.0	-1.1872154393612855	67.0	-0.14997250731673703	-146.0	
2018.0	0.07688056839847413	10.069009220799794	1249.0	2084.0	0.26238995395540227	0.0	1346.160888671875	44111.0	0.725	811.0	-0.49190283400809715	-653.0	-255.0	0.12550607287449392	-0.061171432940816645	-74.0	-1.074049714809392	60.0	-0.026084980806218825	-135.0	
2017.0	0.06509889639204092	10.081318210632665	1248.0	2085.0	0.27456650980307973	0.0	1365.692138671875	44751.0	0.725	811.0	-0.49190283400809715	-653.0	-255.0	0.12550607287449392	0.18351429882244993	-80.0	-0.9770917667007123	53.0	0.0669515006236174	-151.0	
2020.0	0.0768829770711506	10.069250088067442	1249.0	2084.0	0.23829840984531334	0.0	1385.223388671875	45391.0	0.7275	812.0	-0.49190283400809715	-653.0	-258.0	0.13157894736842105	-0.04587857470561248	-57.0	-0.9028652476309803	49.0	-0.28522935832255814	-136.0	
2019.0	0.06485750039136703	10.057178610565275	1250.0	2085.0	0.24998491829955652	0.0	1404.754638671875	46031.0	0.7275	812.0	-0.49190283400809715	-653.0	-258.0	0.13157894736842105	0.0	-67.0	-1.1677065858925693	66.0	-0.13443293512392493	-139.0	
2018.0	0.08878293840524426	10.068770031000618	1249.0	2083.0	0.2625041938594865	0.0	1424.285888671875	46671.0	0.7275	812.0	-0.49190283400809715	-653.0	-258.0	0.13157894736842105	-0.10705000764642914	-73.0	-0.9028735068727234	49.0	-0.039717702384977044	-132.0	
2017.0	0.07687936406213589	10.068888787165971	1249.0	2084.0	0.27443572601044675	0.0	1443.817138671875	47311.0	0.735	815.0	-0.4979757085020243	-656.0	-253.0	0.12145748987854252	0.1529285823520416	-67.0	-0.9277317445141975	50.0	-0.13203318671014122	-149.0	
2017.0	0.08878173406890603	10.068649597366795	1249.0	2083.0	0.27454996591453096	0.0	1463.348388671875	47951.0	0.735	815.0	-0.4979757085020243	-656.0	-253.0	0.12145748987854252	0.04587857470561248	-65.0	-1.123092553956464	63.0	-0.1646757621208137	-142.0	
