Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no units	m/(s^2)	no units	m/(s^2)	m/(s^2)	no units	no units	no units	ms	local_flux	no units	local_flux	no units	local_flux	no units	no units	deg/s	deg/s	no units	no units	deg/s	
2032.0	0.29345623362590056	1230.0	10.298004314971012	0.1004609136959202	2066.0	0.0	16367.0	499.481201171875	0.755	823.0	0.5344129554655871	-146.0	-0.4777327935222672	43.0	-378.0	-45.496253249732376	-1.7643844605497676	220.0	2836.0	4.631734703806348	
2015.0	-0.844559471948126	1192.0	10.782148043282643	0.3035829083148463	2162.0	0.0	17007.0	519.012451171875	0.755	823.0	0.5344129554655871	-146.0	-0.4777327935222672	43.0	-93.0	-18.167915583422545	3.5693137285911667	-195.0	1049.0	0.31189384313216	
2031.0	-0.048710201477290396	1303.0	9.414694137985247	0.09142123857625734	2094.0	0.0	17647.0	538.543701171875	0.735	815.0	0.5425101214574899	-142.0	-0.46963562753036436	39.0	-32.0	14.910536779324056	41.984043165573766	-2778.0	-1114.0	-0.2399723656436334	
2061.0	0.22280835335913973	1224.0	10.376073431152069	-0.248081773144572	2072.0	0.0	18287.0	558.074951171875	0.735	815.0	0.5425101214574899	-142.0	-0.46963562753036436	39.0	-22.0	6.973543355253097	35.58165482708437	-2341.0	-595.0	-0.4574410856097764	
2011.0	1.2220596077642192	1228.0	10.301198871660004	0.3628228867638543	1988.0	0.0	18927.0	577.606201171875	0.735	815.0	0.5425101214574899	-142.0	-0.46963562753036436	39.0	-28.0	4.970178926441353	-2.0372613897737923	110.0	-464.0	-0.7415633458296086	
2030.0	0.13579735878500773	1254.0	10.0083073070722	0.11718677033170376	2079.0	0.0	19567.0	597.137451171875	0.7375	816.0	0.5344129554655871	-146.0	-0.4817813765182186	45.0	-24.0	11.668450833460774	-1.1971405790846528	38.0	-902.0	-0.7945400723552167	
2035.0	0.0886815097863191	1250.0	10.058627169108101	0.05748104522701317	2083.0	0.0	20207.0	616.668701171875	0.7375	816.0	0.5344129554655871	-146.0	-0.4817813765182186	45.0	-47.0	2.477443034103074	-1.0330151463972126	51.0	-301.0	-0.4399756938914695	
2038.0	0.06475848044511834	1251.0	10.047276615940405	0.02087022555699425	2085.0	0.0	20847.0	636.199951171875	0.7375	816.0	0.5344129554655871	-146.0	-0.4817813765182186	45.0	-68.0	1.5904572564612327	-1.1238069687558048	59.0	-243.0	-0.11864945529443238	
2035.0	0.10034007511973887	1252.0	10.034007511973888	0.05710523773766307	2082.0	0.0	21487.0	655.731201171875	0.7375	816.0	0.5344129554655871	-146.0	-0.4817813765182186	45.0	-63.0	5.47484324820309	-1.016927641133957	42.0	-497.0	-0.19430308030883844	
2034.0	-0.029490078260994243	1243.0	10.146230269138671	0.07009958411823577	2093.0	0.0	22127.0	675.262451171875	0.7425	818.0	0.5384615384615384	-144.0	-0.4574898785425101	33.0	-67.0	2.8903502064535864	-1.0987405041414444	54.0	-328.0	-0.1337432743064137	
