Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no units	m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	ms	no units	local_flux	no units	local_flux	no units	no units	local_flux	deg/s	no units	no units	deg/s	deg/s	no units	
2023.0	0.12486177711727144	1246.0	10.105225330774763	2080.0	0.20335312438666797	0.0	748.992919921875	24543.0	0.79	837.0	-0.6133603238866396	-713.0	-156.0	-0.07489878542510121	0.04587857470561248	-64.0	71.0	-1.245984810972477	-0.18124916834909874	-142.0	
2023.0	0.10105703710373115	1246.0	10.105703710373115	2082.0	0.20312464457849963	0.0	768.524169921875	25183.0	0.79	837.0	-0.6133603238866396	-713.0	-156.0	-0.07489878542510121	0.16822144058724578	-62.0	64.0	-1.142906201602008	-0.21090734957164387	-150.0	
2024.0	0.11296061144683953	1246.0	10.105584954207762	2081.0	0.19119311242753934	0.0	788.055419921875	25823.0	0.79	837.0	-0.6214574898785425	-717.0	-155.0	-0.07692307692307693	0.1529285823520416	-70.0	56.0	-1.0204762978773267	-0.0869271812693978	-149.0	
2024.0	0.11308251378351472	1245.0	10.117775187875282	2081.0	0.19143813612425647	0.0	807.586669921875	26463.0	0.79	837.0	-0.6214574898785425	-717.0	-155.0	-0.07692307692307693	-0.015292858235204161	-62.0	55.0	-0.9971399663095567	-0.20944968721871934	-138.0	
2024.0	0.11308251378351472	1245.0	10.117775187875282	2081.0	0.19143813612425647	0.0	827.117919921875	27103.0	0.79	837.0	-0.6214574898785425	-717.0	-155.0	-0.07692307692307693	0.10705000764642914	-70.0	63.0	-1.1263063140809904	-0.08798548143143445	-146.0	
2023.0	0.11308130944717648	1245.0	10.117654754241459	2081.0	0.20348390817930095	0.0	846.649169921875	27743.0	0.7925	838.0	-0.6133603238866396	-713.0	-165.0	-0.05668016194331984	0.1529285823520416	-75.0	54.0	-0.9904820237180749	-0.009904820237180749	-149.0	
2025.0	0.11296181578317777	1246.0	10.105705387841587	2081.0	0.17914734037249486	0.0	866.180419921875	28383.0	0.7925	838.0	-0.6133603238866396	-713.0	-165.0	-0.05668016194331984	0.015292858235204161	-65.0	57.0	-1.029584982746047	-0.16374068640870953	-140.0	
2024.0	0.10118014377674459	1245.0	10.118014377674458	2082.0	0.1913238962201723	0.0	885.711669921875	29023.0	0.7925	838.0	-0.6133603238866396	-713.0	-165.0	-0.05668016194331984	-0.16822144058724578	-61.0	62.0	-1.0985349808709464	-0.22580812102245812	-128.0	
2022.0	0.10105583276739291	1246.0	10.105583276739292	2082.0	0.2151704166335441	0.0	905.242919921875	29663.0	0.7925	838.0	-0.6133603238866396	-713.0	-165.0	-0.05668016194331984	0.04587857470561248	-59.0	62.0	-1.1067912661809673	-0.25657965119180814	-142.0	
2024.0	0.10105824144006939	1246.0	10.105824144006938	2082.0	0.19107887252345515	0.0	924.774169921875	30303.0	0.7875	836.0	-0.6133603238866396	-713.0	-159.0	-0.06882591093117409	0.10705000764642914	-69.0	58.0	-1.0492493305188306	-0.10255939525393774	-146.0	
2041.0	0.28095519096279864	1235.0	10.238376239137004	2067.0	-0.009290393187149942	0.0	944.305419921875	30943.0	0.7875	836.0	-0.6133603238866396	-713.0	-159.0	-0.06882591093117409	1.4834072488148036	603.0	36.0	-0.6628178576649387	-10.410188098785335	-236.0	
2016.0	0.07663435505244728	1251.0	10.044387886197107	2084.0	0.285991450672057	0.0	963.836669921875	31583.0	0.7875	836.0	-0.6133603238866396	-713.0	-159.0	-0.06882591093117409	-2.6915430493959325	27.0	46.0	-0.7380190403369111	-1.5725175235321096	37.0	
2026.0	0.1367677601330563	1246.0	10.105347441877058	2079.0	0.16733004812561872	0.0	983.367919921875	32223.0	0.8	841.0	-0.6174089068825911	-715.0	-152.0	-0.08299595141700405	-1.6822144058724577	9.0	73.0	-1.1964290720223918	-1.300900918002716	-29.0	
2027.0	0.11320802912920462	1244.0	10.130326722444272	2081.0	0.15554584365584012	0.0	1002.899169921875	32863.0	0.8	841.0	-0.6174089068825911	-715.0	-152.0	-0.08299595141700405	-0.33644288117449156	17.0	65.0	-1.1259814280037665	-1.422952310827529	-117.0	
2025.0	0.13676655579671804	1246.0	10.105227008243233	2079.0	0.1793758201806632	0.0	1022.430419921875	33503.0	0.8	841.0	-0.6174089068825911	-715.0	-152.0	-0.08299595141700405	0.015292858235204161	-2.0	63.0	-1.1122031895294717	-1.1312693389384127	-140.0	
2026.0	0.1368896624697315	1245.0	10.117537675544577	2079.0	0.16757507182233586	0.0	1041.961669921875	34143.0	0.8	841.0	-0.6174089068825911	-715.0	-152.0	-0.08299595141700405	0.474078605291329	-6.0	66.0	-1.1773086348678687	-1.070542458759297	-170.0	
